"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3603700474",2017,"Genesee","Alabama town","S0101_C02_002","Under 5 Years",6.3,2.9
"3603700474",2017,"Genesee","Alabama town","S0101_C02_003","5 to 9 Years",4.4,1.8
"3603700474",2017,"Genesee","Alabama town","S0101_C02_004","10 to 14 Years",5.3,2.2
"3603700474",2017,"Genesee","Alabama town","S0101_C02_005","15 to 19 Years",6.1,2.2
"3603700474",2017,"Genesee","Alabama town","S0101_C02_006","20 to 24 Years",7.9,2.6
"3603700474",2017,"Genesee","Alabama town","S0101_C02_007","25 to 29 Years",8.2,3.1
"3603700474",2017,"Genesee","Alabama town","S0101_C02_008","30 to 34 Years",4,2.1
"3603700474",2017,"Genesee","Alabama town","S0101_C02_009","35 to 39 Years",4.9,2
"3603700474",2017,"Genesee","Alabama town","S0101_C02_010","40 to 44 Years",7.6,2.5
"3603700474",2017,"Genesee","Alabama town","S0101_C02_011","45 to 49 Years",7.8,2.1
"3603700474",2017,"Genesee","Alabama town","S0101_C02_012","50 to 54 Years",10.2,2.9
"3603700474",2017,"Genesee","Alabama town","S0101_C02_013","55 to 59 Years",9.5,2.7
"3603700474",2017,"Genesee","Alabama town","S0101_C02_014","60 to 64 Years",6.5,2.1
"3603700474",2017,"Genesee","Alabama town","S0101_C02_015","65 to 69 Years",3.2,1.4
"3603700474",2017,"Genesee","Alabama town","S0101_C02_016","70 to 74 Years",2.2,0.9
"3603700474",2017,"Genesee","Alabama town","S0101_C02_017","75 to 79 Years",2.4,1.3
"3603700474",2017,"Genesee","Alabama town","S0101_C02_018","80 to 84 Years",1.4,0.9
"3603700474",2017,"Genesee","Alabama town","S0101_C02_019","85 Years and Over",2.2,1.2
"3603701165",2017,"Genesee","Alexander town","S0101_C02_002","Under 5 Years",4.1,1.6
"3603701165",2017,"Genesee","Alexander town","S0101_C02_003","5 to 9 Years",6,1.8
"3603701165",2017,"Genesee","Alexander town","S0101_C02_004","10 to 14 Years",7.7,2.5
"3603701165",2017,"Genesee","Alexander town","S0101_C02_005","15 to 19 Years",7.3,1.8
"3603701165",2017,"Genesee","Alexander town","S0101_C02_006","20 to 24 Years",6.8,2.2
"3603701165",2017,"Genesee","Alexander town","S0101_C02_007","25 to 29 Years",4.3,1.6
"3603701165",2017,"Genesee","Alexander town","S0101_C02_008","30 to 34 Years",3.3,1.4
"3603701165",2017,"Genesee","Alexander town","S0101_C02_009","35 to 39 Years",4.2,1.4
"3603701165",2017,"Genesee","Alexander town","S0101_C02_010","40 to 44 Years",6.7,2.3
"3603701165",2017,"Genesee","Alexander town","S0101_C02_011","45 to 49 Years",5.4,2
"3603701165",2017,"Genesee","Alexander town","S0101_C02_012","50 to 54 Years",11.7,2.7
"3603701165",2017,"Genesee","Alexander town","S0101_C02_013","55 to 59 Years",10.8,2.9
"3603701165",2017,"Genesee","Alexander town","S0101_C02_014","60 to 64 Years",5.3,2
"3603701165",2017,"Genesee","Alexander town","S0101_C02_015","65 to 69 Years",4.7,2
"3603701165",2017,"Genesee","Alexander town","S0101_C02_016","70 to 74 Years",3.4,1.5
"3603701165",2017,"Genesee","Alexander town","S0101_C02_017","75 to 79 Years",3,1.3
"3603701165",2017,"Genesee","Alexander town","S0101_C02_018","80 to 84 Years",3,1.3
"3603701165",2017,"Genesee","Alexander town","S0101_C02_019","85 Years and Over",2.3,1.2
"3603704715",2017,"Genesee","Batavia city","S0101_C02_002","Under 5 Years",5.9,1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_003","5 to 9 Years",7.1,1.2
"3603704715",2017,"Genesee","Batavia city","S0101_C02_004","10 to 14 Years",5.1,1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_005","15 to 19 Years",6.3,1.2
"3603704715",2017,"Genesee","Batavia city","S0101_C02_006","20 to 24 Years",7.5,1.2
"3603704715",2017,"Genesee","Batavia city","S0101_C02_007","25 to 29 Years",7.9,1.3
"3603704715",2017,"Genesee","Batavia city","S0101_C02_008","30 to 34 Years",5.9,1.1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_009","35 to 39 Years",5.5,1.2
"3603704715",2017,"Genesee","Batavia city","S0101_C02_010","40 to 44 Years",6,1.1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_011","45 to 49 Years",6.8,1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_012","50 to 54 Years",6.6,1.4
"3603704715",2017,"Genesee","Batavia city","S0101_C02_013","55 to 59 Years",6.3,1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_014","60 to 64 Years",4.3,1
"3603704715",2017,"Genesee","Batavia city","S0101_C02_015","65 to 69 Years",4.4,0.8
"3603704715",2017,"Genesee","Batavia city","S0101_C02_016","70 to 74 Years",4.1,0.7
"3603704715",2017,"Genesee","Batavia city","S0101_C02_017","75 to 79 Years",3.3,0.7
"3603704715",2017,"Genesee","Batavia city","S0101_C02_018","80 to 84 Years",2.4,0.5
"3603704715",2017,"Genesee","Batavia city","S0101_C02_019","85 Years and Over",4.5,0.9
"3603704726",2017,"Genesee","Batavia town","S0101_C02_002","Under 5 Years",3.7,1.5
"3603704726",2017,"Genesee","Batavia town","S0101_C02_003","5 to 9 Years",5.2,2.4
"3603704726",2017,"Genesee","Batavia town","S0101_C02_004","10 to 14 Years",2.8,1.2
"3603704726",2017,"Genesee","Batavia town","S0101_C02_005","15 to 19 Years",4.9,1.9
"3603704726",2017,"Genesee","Batavia town","S0101_C02_006","20 to 24 Years",6.4,2.3
"3603704726",2017,"Genesee","Batavia town","S0101_C02_007","25 to 29 Years",6.2,2.2
"3603704726",2017,"Genesee","Batavia town","S0101_C02_008","30 to 34 Years",2.9,1.5
"3603704726",2017,"Genesee","Batavia town","S0101_C02_009","35 to 39 Years",4.1,1.7
"3603704726",2017,"Genesee","Batavia town","S0101_C02_010","40 to 44 Years",5.3,2.2
"3603704726",2017,"Genesee","Batavia town","S0101_C02_011","45 to 49 Years",5.8,2
"3603704726",2017,"Genesee","Batavia town","S0101_C02_012","50 to 54 Years",13.3,2.6
"3603704726",2017,"Genesee","Batavia town","S0101_C02_013","55 to 59 Years",9.9,3.1
"3603704726",2017,"Genesee","Batavia town","S0101_C02_014","60 to 64 Years",9.3,2.9
"3603704726",2017,"Genesee","Batavia town","S0101_C02_015","65 to 69 Years",4.2,1.8
"3603704726",2017,"Genesee","Batavia town","S0101_C02_016","70 to 74 Years",7.7,2.3
"3603704726",2017,"Genesee","Batavia town","S0101_C02_017","75 to 79 Years",4,1.9
"3603704726",2017,"Genesee","Batavia town","S0101_C02_018","80 to 84 Years",1.7,1.4
"3603704726",2017,"Genesee","Batavia town","S0101_C02_019","85 Years and Over",2.5,1.6
"3603706057",2017,"Genesee","Bergen town","S0101_C02_002","Under 5 Years",3.9,1.7
"3603706057",2017,"Genesee","Bergen town","S0101_C02_003","5 to 9 Years",4.3,1.9
"3603706057",2017,"Genesee","Bergen town","S0101_C02_004","10 to 14 Years",6.1,2.3
"3603706057",2017,"Genesee","Bergen town","S0101_C02_005","15 to 19 Years",12.1,4.3
"3603706057",2017,"Genesee","Bergen town","S0101_C02_006","20 to 24 Years",6.2,2.7
"3603706057",2017,"Genesee","Bergen town","S0101_C02_007","25 to 29 Years",3.5,1.5
"3603706057",2017,"Genesee","Bergen town","S0101_C02_008","30 to 34 Years",4.4,1.9
"3603706057",2017,"Genesee","Bergen town","S0101_C02_009","35 to 39 Years",6.6,2.9
"3603706057",2017,"Genesee","Bergen town","S0101_C02_010","40 to 44 Years",4.2,1.8
"3603706057",2017,"Genesee","Bergen town","S0101_C02_011","45 to 49 Years",7.2,4.6
"3603706057",2017,"Genesee","Bergen town","S0101_C02_012","50 to 54 Years",9.2,2.8
"3603706057",2017,"Genesee","Bergen town","S0101_C02_013","55 to 59 Years",9.6,3.1
"3603706057",2017,"Genesee","Bergen town","S0101_C02_014","60 to 64 Years",8.3,2.8
"3603706057",2017,"Genesee","Bergen town","S0101_C02_015","65 to 69 Years",4.1,1.5
"3603706057",2017,"Genesee","Bergen town","S0101_C02_016","70 to 74 Years",3.9,2
"3603706057",2017,"Genesee","Bergen town","S0101_C02_017","75 to 79 Years",3,1.5
