"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"3605534099",2017,"B08303_002","Less than 5 min",3.30606680299932,0.96238009826515,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_003","5 to 9 min",13.243743305093,2.10935561874196,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_004","10 to 14 min",22.0371993378128,2.20322991742759,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_005","15 to 19 min",19.1742136527413,2.09162133119466,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_006","20 to 24 min",17.9472197877106,2.05852624457063,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_007","25 to 29 min",7.65410458661992,1.52627777271489,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_008","30 to 34 min",10.7459343655663,1.78390989252764,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_009","35 to 39 min",0.983542701334112,0.446697656600586,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_010","40 to 44 min",0.871555166033694,0.446966934068401,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_011","45 to 59 min",1.6359918200409,0.562055453198226,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_012","60 to 89 min",1.31950530723537,0.528820086772108,"Monroe","Henrietta town","New York"
"3605534099",2017,"B08303_013","90 or more min",1.08092316681274,0.553848178680813,"Monroe","Henrietta town","New York"
"3605558365",2017,"B08303_002","Less than 5 min",2.96633885024386,1.20296844902718,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_003","5 to 9 min",13.6163748300951,2.00030149140923,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_004","10 to 14 min",16.2069241224914,2.29128647158805,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_005","15 to 19 min",20.380586871352,2.01539877186274,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_006","20 to 24 min",25.3697929159671,2.34416648345156,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_007","25 to 29 min",8.91500759574638,1.21694273544533,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_008","30 to 34 min",7.81962101223315,1.23408138101917,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_009","35 to 39 min",0.919485088350524,0.438605376833229,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_010","40 to 44 min",0.759574638202607,0.366857075524695,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_011","45 to 59 min",1.5511313664348,0.661462096917588,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_012","60 to 89 min",0.631646278084273,0.415194337198273,"Monroe","Pittsford town","New York"
"3605558365",2017,"B08303_013","90 or more min",0.863516430798753,0.45476773360578,"Monroe","Pittsford town","New York"
"3605561808",2017,"B08303_002","Less than 5 min",2.69312544294826,1.72562280443179,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_003","5 to 9 min",8.75265768958186,3.70358230118687,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_004","10 to 14 min",10.5953224663359,3.53399318021047,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_005","15 to 19 min",15.3082919914954,5.16498596649194,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_006","20 to 24 min",18.8164422395464,4.36829455910633,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_007","25 to 29 min",19.3479801559178,7.05890227867375,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_008","30 to 34 min",13.1467044649185,3.52649326260733,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_009","35 to 39 min",1.31112686038271,0.987755526386453,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_010","40 to 44 min",2.33876683203402,1.76386635955108,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_011","45 to 59 min",5.4925584691708,2.41325802773217,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_012","60 to 89 min",1.8781006378455,1.05454131480781,"Monroe","Riga town","New York"
"3605561808",2017,"B08303_013","90 or more min",0.318922749822821,0.353622508835965,"Monroe","Riga town","New York"
"3605581402",2017,"B08303_002","Less than 5 min",4.60577673692428,2.67931028869444,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_003","5 to 9 min",9.05542544886807,2.99671910945993,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_004","10 to 14 min",7.18188914910226,3.09335252845709,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_005","15 to 19 min",16.2763466042155,5.06092221284041,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_006","20 to 24 min",22.7556596409055,5.85735418779625,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_007","25 to 29 min",14.6370023419204,5.86896746401221,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_008","30 to 34 min",13.5050741608119,4.29753077409652,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_009","35 to 39 min",1.32708821233411,0.972618551442362,"Monroe","Wheatland town","New York"
"3605581402",2017,"B08303_010","40 to 44 min",3.86416861826698,2.44830622124718,"Monroe","Wheatland town","New York"
