"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"36099",2017,"B17001H_FemPov","White (Non-Hispanic)",12.5320702585356,2.11828169199395,"Seneca","NA County","New York"
"36099",2017,"B17001B_FemPov","Black (Non-Hispanic)",7.69230769230769,11.5384615384615,"Seneca","NA County","New York"
"36099",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",37.1967654986523,20.2156334231806,"Seneca","NA County","New York"
"36099",2017,"B17001D_FemPov","Asian (Non-Hispanic)",47.7941176470588,22.7941176470588,"Seneca","NA County","New York"
"36099",2017,"B17001C_FemPov","Native American (Non-Hispanic)",11.7647058823529,17.6470588235294,"Seneca","NA County","New York"
"36099",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Seneca","NA County","New York"
"36099",2017,"B17001F_FemPov","Other (Non-Hispanic)",14.7058823529412,26.4705882352941,"Seneca","NA County","New York"
"36099",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",32.2429906542056,28.0373831775701,"Seneca","NA County","New York"
"36069",2017,"B17001H_FemPov","White (Non-Hispanic)",9.083183262176,1.02183282410311,"Ontario","NA County","New York"
"36069",2017,"B17001B_FemPov","Black (Non-Hispanic)",24.6051537822111,12.3025768911056,"Ontario","NA County","New York"
"36069",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",28.8309268747089,6.47414997671169,"Ontario","NA County","New York"
"36069",2017,"B17001D_FemPov","Asian (Non-Hispanic)",24.9318801089918,14.441416893733,"Ontario","NA County","New York"
"36069",2017,"B17001C_FemPov","Native American (Non-Hispanic)",13.1455399061033,17.3708920187793,"Ontario","NA County","New York"
"36069",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,103.846153846154,"Ontario","NA County","New York"
"36069",2017,"B17001F_FemPov","Other (Non-Hispanic)",37.7125193199382,17.1561051004637,"Ontario","NA County","New York"
"36069",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",15.983026874116,9.33521923620934,"Ontario","NA County","New York"
"36073",2017,"B17001H_FemPov","White (Non-Hispanic)",15.4901285583104,2.07759412304867,"Orleans","NA County","New York"
"36073",2017,"B17001B_FemPov","Black (Non-Hispanic)",31.2348668280872,11.501210653753,"Orleans","NA County","New York"
"36073",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",64.9651972157773,14.7331786542923,"Orleans","NA County","New York"
"36073",2017,"B17001D_FemPov","Asian (Non-Hispanic)",22.8813559322034,14.4067796610169,"Orleans","NA County","New York"
"36073",2017,"B17001C_FemPov","Native American (Non-Hispanic)",25.4237288135593,30.5084745762712,"Orleans","NA County","New York"
"36073",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,600,"Orleans","NA County","New York"
"36073",2017,"B17001F_FemPov","Other (Non-Hispanic)",90.2578796561605,58.7392550143267,"Orleans","NA County","New York"
"36073",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",23.2294617563739,21.8130311614731,"Orleans","NA County","New York"
"36055",2017,"B17001H_FemPov","White (Non-Hispanic)",8.76409765546673,0.441893635293984,"Monroe","NA County","New York"
"36055",2017,"B17001B_FemPov","Black (Non-Hispanic)",36.7240976326422,1.81809075428228,"Monroe","NA County","New York"
"36055",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",35.1876847923898,2.08895744954364,"Monroe","NA County","New York"
"36055",2017,"B17001D_FemPov","Asian (Non-Hispanic)",18.1172291296625,3.31557134399053,"Monroe","NA County","New York"
"36055",2017,"B17001C_FemPov","Native American (Non-Hispanic)",40.7878017789072,12.0711562897077,"Monroe","NA County","New York"
"36055",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",10.9090909090909,16.3636363636364,"Monroe","NA County","New York"
