"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"3605534099",2017,"B17001H_FemPov","White (Non-Hispanic)",9.88439701757986,2.09236796238417,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001B_FemPov","Black (Non-Hispanic)",33.016983016983,11.4268784782247,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",18.8466947960619,12.4263747335334,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001D_FemPov","Asian (Non-Hispanic)",15.7923799006074,9.95145545759821,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,72.7272727272727,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,184.615384615385,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001F_FemPov","Other (Non-Hispanic)",8,11.9153831476607,"Monroe","Henrietta town","New York"
"3605534099",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",6.23556581986143,6.56431013251148,"Monroe","Henrietta town","New York"
"3605558365",2017,"B17001H_FemPov","White (Non-Hispanic)",3.75648735480682,1.50903900664609,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001B_FemPov","Black (Non-Hispanic)",33.0578512396694,16.7007628307971,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001I_FemPov","Hispanic or Latino (Any Race)",22.2222222222222,17.666476160574,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001D_FemPov","Asian (Non-Hispanic)",2.63770364623739,1.98394081756472,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001C_FemPov","Native American (Non-Hispanic)",0,210,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001E_FemPov","Pacific Islander (Non-Hispanic)",0,0,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001F_FemPov","Other (Non-Hispanic)",41.6666666666667,33.8860426855791,"Monroe","Pittsford town","New York"
"3605558365",2017,"B17001G_FemPov","Two or More Races (Non-Hispanic)",0,14,"Monroe","Pittsford town","New York"
"3605561808",2017,"B17001H_FemPov","White (Non-Hispanic)",6.65220535068691,3.97245217749966,"Monroe","Riga town","New York"
"3605561808",2017,"B17001B_FemPov","Black (Non-Hispanic)",0,29.0909090909091,"Monroe","Riga town","New York"
