"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36099",2017,"Seneca","NA County","B25003H_Homeownership","White (Non-Hispanic)",74.9126484975542,2.05761316872428
"36099",2017,"Seneca","NA County","B25003B_Homeownership","Black (Non-Hispanic)",33.3333333333333,38.3333333333333
"36099",2017,"Seneca","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",44.4444444444444,21.7592592592593
"36099",2017,"Seneca","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",33.75,23.75
"36099",2017,"Seneca","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",51.3513513513513,64.8648648648649
"36099",2017,"Seneca","NA County","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"36099",2017,"Seneca","NA County","B25003F_Homeownership","Other (Non-Hispanic)",38.8888888888889,50
"36099",2017,"Seneca","NA County","B25003G_Homeownership","Two or More Races (Non-Hispanic)",39.9014778325123,22.6600985221675
"36069",2017,"Ontario","NA County","B25003H_Homeownership","White (Non-Hispanic)",75.9011079394262,1.20954085829019
"36069",2017,"Ontario","NA County","B25003B_Homeownership","Black (Non-Hispanic)",17.8571428571429,8.98268398268398
"36069",2017,"Ontario","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",29.1512915129151,7.30627306273063
"36069",2017,"Ontario","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",62.8930817610063,24.5283018867925
"36069",2017,"Ontario","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",14.6341463414634,18.6991869918699
"36069",2017,"Ontario","NA County","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",35.4166666666667,45.8333333333333
"36069",2017,"Ontario","NA County","B25003F_Homeownership","Other (Non-Hispanic)",28.8201160541586,13.5396518375242
"36069",2017,"Ontario","NA County","B25003G_Homeownership","Two or More Races (Non-Hispanic)",54.7058823529412,17.0588235294118
"36073",2017,"Orleans","NA County","B25003H_Homeownership","White (Non-Hispanic)",77.3526854391011,2.6820948431543
"36073",2017,"Orleans","NA County","B25003B_Homeownership","Black (Non-Hispanic)",56.6666666666667,22.5925925925926
"36073",2017,"Orleans","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",23.9263803680982,12.4744376278119
"36073",2017,"Orleans","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",43.859649122807,24.5614035087719
"36073",2017,"Orleans","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",87.5,62.5
"36073",2017,"Orleans","NA County","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"36073",2017,"Orleans","NA County","B25003F_Homeownership","Other (Non-Hispanic)",2.32558139534884,8.37209302325581
"36073",2017,"Orleans","NA County","B25003G_Homeownership","Two or More Races (Non-Hispanic)",72.1739130434783,37.3913043478261
"36055",2017,"Monroe","NA County","B25003H_Homeownership","White (Non-Hispanic)",72.6633592328153,0.587113257734845
"36055",2017,"Monroe","NA County","B25003B_Homeownership","Black (Non-Hispanic)",31.6668277595206,1.46675043495071
"36055",2017,"Monroe","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",35.8344584068958,2.13417800394641
"36055",2017,"Monroe","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",51.8620524488085,3.34091725541851
"36055",2017,"Monroe","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",24.2032730404823,7.57967269595177
"36055",2017,"Monroe","NA County","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",10.8695652173913,15.2173913043478
"36055",2017,"Monroe","NA County","B25003F_Homeownership","Other (Non-Hispanic)",40.7000686341798,6.61175932280943
"36055",2017,"Monroe","NA County","B25003G_Homeownership","Two or More Races (Non-Hispanic)",37.4582637729549,5.48831385642738
"36051",2017,"Livingston","NA County","B25003H_Homeownership","White (Non-Hispanic)",74.5934256055363,1.51384083044983
"36051",2017,"Livingston","NA County","B25003B_Homeownership","Black (Non-Hispanic)",28.1967213114754,12.4590163934426
"36051",2017,"Livingston","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",54.5081967213115,17.2131147540984
"36051",2017,"Livingston","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",71.2,32.4
"36051",2017,"Livingston","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",90,90
"36051",2017,"Livingston","NA County","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"36051",2017,"Livingston","NA County","B25003F_Homeownership","Other (Non-Hispanic)",35.625,26.25
"36051",2017,"Livingston","NA County","B25003G_Homeownership","Two or More Races (Non-Hispanic)",37.1980676328502,21.256038647343
"36117",2017,"Wayne","NA County","B25003H_Homeownership","White (Non-Hispanic)",78.2504947037597,1.61506227447329
"36117",2017,"Wayne","NA County","B25003B_Homeownership","Black (Non-Hispanic)",44.5740956826138,12.8354725787631
"36117",2017,"Wayne","NA County","B25003I_Homeownership","Hispanic or Latino (Any Race)",62.8796400449944,11.3610798650169
"36117",2017,"Wayne","NA County","B25003D_Homeownership","Asian (Non-Hispanic)",73.469387755102,38.0952380952381
"36117",2017,"Wayne","NA County","B25003C_Homeownership","Native American (Non-Hispanic)",42.8571428571429,31.4285714285714
