"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3605534099",2017,"Monroe","Henrietta town","B25003H_Homeownership","White (Non-Hispanic)",73.578431372549,2.26736921656694
"3605534099",2017,"Monroe","Henrietta town","B25003B_Homeownership","Black (Non-Hispanic)",48.1094127111826,9.17387164174191
"3605534099",2017,"Monroe","Henrietta town","B25003I_Homeownership","Hispanic or Latino (Any Race)",51.5981735159817,10.7652855035546
"3605534099",2017,"Monroe","Henrietta town","B25003D_Homeownership","Asian (Non-Hispanic)",60.7329842931937,7.49130065984084
"3605534099",2017,"Monroe","Henrietta town","B25003C_Homeownership","Native American (Non-Hispanic)",43.75,23.4822164572703
"3605534099",2017,"Monroe","Henrietta town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605534099",2017,"Monroe","Henrietta town","B25003F_Homeownership","Other (Non-Hispanic)",37.5,15.0231303144333
"3605534099",2017,"Monroe","Henrietta town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",60,25.6266388062969
"3605558365",2017,"Monroe","Pittsford town","B25003H_Homeownership","White (Non-Hispanic)",86.8083742790002,0.879720537544832
"3605558365",2017,"Monroe","Pittsford town","B25003B_Homeownership","Black (Non-Hispanic)",76,24.0390201316295
"3605558365",2017,"Monroe","Pittsford town","B25003I_Homeownership","Hispanic or Latino (Any Race)",56.1538461538462,21.0793814951563
"3605558365",2017,"Monroe","Pittsford town","B25003D_Homeownership","Asian (Non-Hispanic)",91.8478260869565,3.03899997313946
"3605558365",2017,"Monroe","Pittsford town","B25003C_Homeownership","Native American (Non-Hispanic)",0,210
"3605558365",2017,"Monroe","Pittsford town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605558365",2017,"Monroe","Pittsford town","B25003F_Homeownership","Other (Non-Hispanic)",73.6842105263158,55.2631578947368
"3605558365",2017,"Monroe","Pittsford town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",81.1594202898551,23.7033827934416
"3605561808",2017,"Monroe","Riga town","B25003H_Homeownership","White (Non-Hispanic)",90.3529411764706,2.7634840648143
"3605561808",2017,"Monroe","Riga town","B25003B_Homeownership","Black (Non-Hispanic)",100,282.842712474619
"3605561808",2017,"Monroe","Riga town","B25003I_Homeownership","Hispanic or Latino (Any Race)",29.1666666666667,34.5547174949732
"3605561808",2017,"Monroe","Riga town","B25003D_Homeownership","Asian (Non-Hispanic)",100,222.233559801486
"3605561808",2017,"Monroe","Riga town","B25003C_Homeownership","Native American (Non-Hispanic)",0,0
"3605561808",2017,"Monroe","Riga town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605561808",2017,"Monroe","Riga town","B25003F_Homeownership","Other (Non-Hispanic)",0,0
"3605561808",2017,"Monroe","Riga town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",100,226.274169979695
"3605581402",2017,"Monroe","Wheatland town","B25003H_Homeownership","White (Non-Hispanic)",71.5741789354473,5.81465544790094
"3605581402",2017,"Monroe","Wheatland town","B25003B_Homeownership","Black (Non-Hispanic)",18.2795698924731,16.6825674006615
"3605581402",2017,"Monroe","Wheatland town","B25003I_Homeownership","Hispanic or Latino (Any Race)",11.1111111111111,9.66202212499909
"3605581402",2017,"Monroe","Wheatland town","B25003D_Homeownership","Asian (Non-Hispanic)",100,226.274169979695
"3605581402",2017,"Monroe","Wheatland town","B25003C_Homeownership","Native American (Non-Hispanic)",0,0
"3605581402",2017,"Monroe","Wheatland town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605581402",2017,"Monroe","Wheatland town","B25003F_Homeownership","Other (Non-Hispanic)",0,0
"3605581402",2017,"Monroe","Wheatland town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",0,0
"3605528442",2017,"Monroe","Gates town","B25003H_Homeownership","White (Non-Hispanic)",76.0762607626076,2.4789128729819
"3605528442",2017,"Monroe","Gates town","B25003B_Homeownership","Black (Non-Hispanic)",59.2137592137592,2.49804101974892
"3605528442",2017,"Monroe","Gates town","B25003I_Homeownership","Hispanic or Latino (Any Race)",57.1428571428571,10.0167758078306
"3605528442",2017,"Monroe","Gates town","B25003D_Homeownership","Asian (Non-Hispanic)",60.1226993865031,13.5327192213684
"3605528442",2017,"Monroe","Gates town","B25003C_Homeownership","Native American (Non-Hispanic)",45.0704225352113,46.2079087333485
"3605528442",2017,"Monroe","Gates town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605528442",2017,"Monroe","Gates town","B25003F_Homeownership","Other (Non-Hispanic)",72.5925925925926,24.750074979465
"3605528442",2017,"Monroe","Gates town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",61.1111111111111,27.6986355424409
"3605537726",2017,"Monroe","Irondequoit town","B25003H_Homeownership","White (Non-Hispanic)",85.4297807683959,1.14556555411625
"3605537726",2017,"Monroe","Irondequoit town","B25003B_Homeownership","Black (Non-Hispanic)",36.6701791359326,7.06118307450271
"3605537726",2017,"Monroe","Irondequoit town","B25003I_Homeownership","Hispanic or Latino (Any Race)",40.3127124405167,8.14439295752096
"3605537726",2017,"Monroe","Irondequoit town","B25003D_Homeownership","Asian (Non-Hispanic)",61.7021276595745,40.0648384458752
"3605537726",2017,"Monroe","Irondequoit town","B25003C_Homeownership","Native American (Non-Hispanic)",0,0
"3605537726",2017,"Monroe","Irondequoit town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
"3605537726",2017,"Monroe","Irondequoit town","B25003F_Homeownership","Other (Non-Hispanic)",38.2211538461538,21.549163105449
"3605537726",2017,"Monroe","Irondequoit town","B25003G_Homeownership","Two or More Races (Non-Hispanic)",47.4747474747475,18.6857732832973
"3605554474",2017,"Monroe","Ogden town","B25003H_Homeownership","White (Non-Hispanic)",76.3334763334763,1.74890241677708
"3605554474",2017,"Monroe","Ogden town","B25003B_Homeownership","Black (Non-Hispanic)",65.7142857142857,34.0926292903373
"3605554474",2017,"Monroe","Ogden town","B25003I_Homeownership","Hispanic or Latino (Any Race)",54.066985645933,10.5915389719168
"3605554474",2017,"Monroe","Ogden town","B25003D_Homeownership","Asian (Non-Hispanic)",23.0769230769231,30.0830986166679
"3605554474",2017,"Monroe","Ogden town","B25003C_Homeownership","Native American (Non-Hispanic)",100,254.558441227157
"3605554474",2017,"Monroe","Ogden town","B25003E_Homeownership","Pacific Islander (Non-Hispanic)",0,0
