"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",50880,1652
"36051",2015,"Livingston","NA County",51734,1412
"36055",2015,"Monroe","NA County",52553,737
"36069",2015,"Ontario","NA County",57416,1353
"36073",2015,"Orleans","NA County",46359,1765
"36099",2015,"Seneca","NA County",49292,1571
"36117",2015,"Wayne","NA County",50798,1284
"36123",2015,"Yates","NA County",49510,2414
"36037",2016,"Genesee","NA County",52641,1500
"36051",2016,"Livingston","NA County",52724,1944
"36055",2016,"Monroe","NA County",53568,591
"36069",2016,"Ontario","NA County",58070,1726
"36073",2016,"Orleans","NA County",48731,2473
"36099",2016,"Seneca","NA County",50073,1833
"36117",2016,"Wayne","NA County",51627,1161
"36123",2016,"Yates","NA County",50105,3116
"36037",2017,"Genesee","NA County",54033,1511
"36051",2017,"Livingston","NA County",53654,1681
"36055",2017,"Monroe","NA County",55272,680
"36069",2017,"Ontario","NA County",61710,1781
"36073",2017,"Orleans","NA County",49223,2670
"36099",2017,"Seneca","NA County",51601,1402
"36117",2017,"Wayne","NA County",53693,1648
"36123",2017,"Yates","NA County",51758,3135
"36037",2018,"Genesee","NA County",59338,2493
"36051",2018,"Livingston","NA County",56071,1875
"36055",2018,"Monroe","NA County",57479,734
"36069",2018,"Ontario","NA County",63359,1753
"36073",2018,"Orleans","NA County",51843,2175
"36099",2018,"Seneca","NA County",54695,2055
"36117",2018,"Wayne","NA County",55765,1620
"36123",2018,"Yates","NA County",54343,3383
"36037",2019,"Genesee","NA County",60524,2085
"36051",2019,"Livingston","NA County",59510,2388
"36055",2019,"Monroe","NA County",60075,657
"36069",2019,"Ontario","NA County",64944,1552
"36073",2019,"Orleans","NA County",52620,1737
"36099",2019,"Seneca","NA County",54545,1638
"36117",2019,"Wayne","NA County",59449,1788
"36123",2019,"Yates","NA County",56563,2764
"36037",2020,"Genesee","NA County",60635,2599
"36051",2020,"Livingston","NA County",60248,1825
"36055",2020,"Monroe","NA County",62087,820
"36069",2020,"Ontario","NA County",64795,1952
"36073",2020,"Orleans","NA County",52958,2200
"36099",2020,"Seneca","NA County",54865,2636
"36117",2020,"Wayne","NA County",62003,1907
"36123",2020,"Yates","NA County",55307,3435
"36037",2021,"Genesee","NA County",63734,3072
"36051",2021,"Livingston","NA County",64467,2308
"36055",2021,"Monroe","NA County",66317,914
"36069",2021,"Ontario","NA County",70694,2727
"36073",2021,"Orleans","NA County",54882,3007
"36099",2021,"Seneca","NA County",59086,3167
"36117",2021,"Wayne","NA County",64152,1709
"36123",2021,"Yates","NA County",57635,4375
"36037",2022,"Genesee","NA County",68178,3117
"36051",2022,"Livingston","NA County",70443,2811
"36055",2022,"Monroe","NA County",71450,965
"36069",2022,"Ontario","NA County",76603,2249
"36073",2022,"Orleans","NA County",61069,2984
"36099",2022,"Seneca","NA County",64050,3355
"36117",2022,"Wayne","NA County",71007,2203
"36123",2022,"Yates","NA County",63974,3733
"36037",2023,"Genesee","NA County",72055,3586
"36051",2023,"Livingston","NA County",72464,2969
"36055",2023,"Monroe","NA County",74409,1109
"36069",2023,"Ontario","NA County",79814,2440
"36073",2023,"Orleans","NA County",63838,3328
"36099",2023,"Seneca","NA County",66007,3860
"36117",2023,"Wayne","NA County",73914,2388
"36123",2023,"Yates","NA County",67521,4456
