"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",54318,5255
"3603701165",2015,"Genesee","Alexander town",60060,3494
"3603704715",2015,"Genesee","Batavia city",41584,1818
"3603704726",2015,"Genesee","Batavia town",47422,5475
"3603706057",2015,"Genesee","Bergen town",44625,13121
"3603706266",2015,"Genesee","Bethany town",55221,10614
"3603711572",2015,"Genesee","Byron town",65160,5214
"3603719719",2015,"Genesee","Darien town",66389,7585
"3603723756",2015,"Genesee","Elba town",69125,8303
"3603742037",2015,"Genesee","Le Roy town",52229,4434
"3603754166",2015,"Genesee","Oakfield town",51188,9196
"3603756792",2015,"Genesee","Pavilion town",64750,8729
"3603757078",2015,"Genesee","Pembroke town",54828,9359
"3603770607",2015,"Genesee","Stafford town",54855,9576
"3603775011",2015,"Genesee","Tonawanda Reservation",24702,13055
"3605103364",2015,"Livingston","Avon town",56380,6355
"3605111715",2015,"Livingston","Caledonia town",54469,5377
"3605117618",2015,"Livingston","Conesus town",59926,5903
"3605128629",2015,"Livingston","Geneseo town",41952,5436
"3605131016",2015,"Livingston","Groveland town",53403,8462
"3605141883",2015,"Livingston","Leicester town",52006,4002
"3605142334",2015,"Livingston","Lima town",51333,3490
"3605142961",2015,"Livingston","Livonia town",62478,12565
"3605148956",2015,"Livingston","Mount Morris town",45283,4516
"3605151869",2015,"Livingston","North Dansville town",40246,7350
"3605154089",2015,"Livingston","Nunda town",45859,9698
"3605155508",2015,"Livingston","Ossian town",65179,11842
"3605159179",2015,"Livingston","Portage town",43636,3206
"3605170101",2015,"Livingston","Sparta town",57614,6476
"3605170475",2015,"Livingston","Springwater town",51389,9347
"3605181006",2015,"Livingston","West Sparta town",44250,5078
"3605184022",2015,"Livingston","York town",59393,5562
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",66149,4669
"3605515462",2015,"Monroe","Chili town",63203,3166
"3605515957",2015,"Monroe","Clarkson town",67517,9702
"3605522870",2015,"Monroe","East Rochester town",46504,3302
"3605528442",2015,"Monroe","Gates town",50022,2455
"3605530290",2015,"Monroe","Greece town",55061,1585
"3605531797",2015,"Monroe","Hamlin town",57392,3084
"3605534099",2015,"Monroe","Henrietta town",61762,2437
"3605537726",2015,"Monroe","Irondequoit town",54275,1974
"3605546558",2015,"Monroe","Mendon town",88011,11440
"3605554474",2015,"Monroe","Ogden town",71596,4685
"3605556561",2015,"Monroe","Parma town",65658,6053
"3605557144",2015,"Monroe","Penfield town",78469,3292
"3605557221",2015,"Monroe","Perinton town",79105,3215
"3605558365",2015,"Monroe","Pittsford town",103546,3666
"3605561808",2015,"Monroe","Riga town",58333,9946
"3605563000",2015,"Monroe","Rochester city",30960,667
"3605564144",2015,"Monroe","Rush town",89321,8024
"3605572455",2015,"Monroe","Sweden town",49876,3015
"3605578971",2015,"Monroe","Webster town",69987,3808
"3605581402",2015,"Monroe","Wheatland town",55417,7649
"3606908378",2015,"Ontario","Bristol town",66458,5348
"3606912100",2015,"Ontario","Canadice town",53469,4805
"3606912144",2015,"Ontario","Canandaigua city",43185,3849
"3606912155",2015,"Ontario","Canandaigua town",59443,5205
"3606921699",2015,"Ontario","East Bloomfield town",62772,10106
"3606925406",2015,"Ontario","Farmington town",64889,8842
"3606928640",2015,"Ontario","Geneva city",40000,3611
"3606928651",2015,"Ontario","Geneva town",55133,13408
"3606929531",2015,"Ontario","Gorham town",63113,6921
"3606935551",2015,"Ontario","Hopewell town",56354,8829
"3606944864",2015,"Ontario","Manchester town",51074,4764
"3606949440",2015,"Ontario","Naples town",47039,6679
"3606957529",2015,"Ontario","Phelps town",58482,8288
"3606961544",2015,"Ontario","Richmond town",62586,8731
"3606966289",2015,"Ontario","Seneca town",64461,8652
"3606968660",2015,"Ontario","South Bristol town",74231,13532
"3606977387",2015,"Ontario","Victor town",86589,10048
"3606979356",2015,"Ontario","West Bloomfield town",51705,5013
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
