"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36037",2017,"Genesee","NA County","B19013B_001","Black (Non-Hispanic)",18846,12088
"36037",2017,"Genesee","NA County","B19013C_001","Native American (Non-Hispanic)",28750,11103
"36037",2017,"Genesee","NA County","B19013D_001","Asian (Non-Hispanic)",154792,76115
"36037",2017,"Genesee","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36037",2017,"Genesee","NA County","B19013F_001","Other (Non-Hispanic)",31894,11293
"36037",2017,"Genesee","NA County","B19013G_001","Two or More Races (Non-Hispanic)",29420,5223
"36037",2017,"Genesee","NA County","B19013H_001","White (Non-Hispanic)",56183,2052
"36037",2017,"Genesee","NA County","B19013I_001","Hispanic or Latino (Any Race)",32030,9905
"36051",2017,"Livingston","NA County","B19013B_001","Black (Non-Hispanic)",18429,5249
"36051",2017,"Livingston","NA County","B19013C_001","Native American (Non-Hispanic)",38667,16422
"36051",2017,"Livingston","NA County","B19013D_001","Asian (Non-Hispanic)",53929,41173
"36051",2017,"Livingston","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"36051",2017,"Livingston","NA County","B19013F_001","Other (Non-Hispanic)",50294,47024
"36051",2017,"Livingston","NA County","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"36051",2017,"Livingston","NA County","B19013H_001","White (Non-Hispanic)",54758,1768
"36051",2017,"Livingston","NA County","B19013I_001","Hispanic or Latino (Any Race)",45000,37482
"36055",2017,"Monroe","NA County","B19013B_001","Black (Non-Hispanic)",29094,1259
"36055",2017,"Monroe","NA County","B19013C_001","Native American (Non-Hispanic)",25606,2645
"36055",2017,"Monroe","NA County","B19013D_001","Asian (Non-Hispanic)",55677,6019
"36055",2017,"Monroe","NA County","B19013E_001","Pacific Islander (Non-Hispanic)",21731,7780
"36055",2017,"Monroe","NA County","B19013F_001","Other (Non-Hispanic)",30313,2608
"36055",2017,"Monroe","NA County","B19013G_001","Two or More Races (Non-Hispanic)",41481,3177
"36055",2017,"Monroe","NA County","B19013H_001","White (Non-Hispanic)",63653,861
