"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3603700474",2017,"Genesee","Alabama town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603700474",2017,"Genesee","Alabama town","B19013H_001","White (Non-Hispanic)",57813,5448
"3603700474",2017,"Genesee","Alabama town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603701165",2017,"Genesee","Alexander town","B19013H_001","White (Non-Hispanic)",60188,4220
"3603701165",2017,"Genesee","Alexander town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603704715",2017,"Genesee","Batavia city","B19013B_001","Black (Non-Hispanic)",33359,31301
"3603704715",2017,"Genesee","Batavia city","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603704715",2017,"Genesee","Batavia city","B19013D_001","Asian (Non-Hispanic)",161500,116965
"3603704715",2017,"Genesee","Batavia city","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603704715",2017,"Genesee","Batavia city","B19013F_001","Other (Non-Hispanic)",41923,14857
"3603704715",2017,"Genesee","Batavia city","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603704715",2017,"Genesee","Batavia city","B19013H_001","White (Non-Hispanic)",45801,2198
"3603704715",2017,"Genesee","Batavia city","B19013I_001","Hispanic or Latino (Any Race)",40307,27151
"3603704726",2017,"Genesee","Batavia town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603704726",2017,"Genesee","Batavia town","B19013H_001","White (Non-Hispanic)",63462,7048
"3603704726",2017,"Genesee","Batavia town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603706057",2017,"Genesee","Bergen town","B19013H_001","White (Non-Hispanic)",46176,12637
"3603706057",2017,"Genesee","Bergen town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603706266",2017,"Genesee","Bethany town","B19013H_001","White (Non-Hispanic)",59286,13116
"3603706266",2017,"Genesee","Bethany town","B19013I_001","Hispanic or Latino (Any Race)",28971,8312
"3603711572",2017,"Genesee","Byron town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603711572",2017,"Genesee","Byron town","B19013H_001","White (Non-Hispanic)",65645,7114
"3603711572",2017,"Genesee","Byron town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603719719",2017,"Genesee","Darien town","B19013H_001","White (Non-Hispanic)",70462,5415
"3603719719",2017,"Genesee","Darien town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603723756",2017,"Genesee","Elba town","B19013H_001","White (Non-Hispanic)",65357,9707
"3603723756",2017,"Genesee","Elba town","B19013I_001","Hispanic or Latino (Any Race)",37750,36828
"3603742037",2017,"Genesee","Le Roy town","B19013B_001","Black (Non-Hispanic)",14511,9218
"3603742037",2017,"Genesee","Le Roy town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603742037",2017,"Genesee","Le Roy town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603742037",2017,"Genesee","Le Roy town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603742037",2017,"Genesee","Le Roy town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603742037",2017,"Genesee","Le Roy town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603742037",2017,"Genesee","Le Roy town","B19013H_001","White (Non-Hispanic)",56309,5229
"3603742037",2017,"Genesee","Le Roy town","B19013I_001","Hispanic or Latino (Any Race)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013B_001","Black (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013C_001","Native American (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013D_001","Asian (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013E_001","Pacific Islander (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013F_001","Other (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013G_001","Two or More Races (Non-Hispanic)",NA,NA
"3603754166",2017,"Genesee","Oakfield town","B19013H_001","White (Non-Hispanic)",60833,11649
