"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",107000,2437
"36051",2015,"Livingston","NA County",121200,3095
"36055",2015,"Monroe","NA County",138600,912
"36069",2015,"Ontario","NA County",145700,3301
"36073",2015,"Orleans","NA County",91300,3016
"36099",2015,"Seneca","NA County",97000,3147
"36117",2015,"Wayne","NA County",112900,2861
"36123",2015,"Yates","NA County",124200,4535
"36037",2016,"Genesee","NA County",108700,2643
"36051",2016,"Livingston","NA County",123000,2703
"36055",2016,"Monroe","NA County",140200,967
"36069",2016,"Ontario","NA County",148400,3343
"36073",2016,"Orleans","NA County",92000,2892
"36099",2016,"Seneca","NA County",98200,2688
"36117",2016,"Wayne","NA County",115100,2526
"36123",2016,"Yates","NA County",126900,6584
"36037",2017,"Genesee","NA County",111900,2894
"36051",2017,"Livingston","NA County",125000,3956
"36055",2017,"Monroe","NA County",142300,996
"36069",2017,"Ontario","NA County",156500,3132
"36073",2017,"Orleans","NA County",93600,2853
"36099",2017,"Seneca","NA County",98400,3190
"36117",2017,"Wayne","NA County",118900,2606
"36123",2017,"Yates","NA County",128900,7072
"36037",2018,"Genesee","NA County",117600,3260
"36051",2018,"Livingston","NA County",126700,2986
"36055",2018,"Monroe","NA County",144700,851
"36069",2018,"Ontario","NA County",160000,2892
"36073",2018,"Orleans","NA County",95600,3139
"36099",2018,"Seneca","NA County",101400,4205
"36117",2018,"Wayne","NA County",121700,2831
"36123",2018,"Yates","NA County",128800,7495
"36037",2019,"Genesee","NA County",119800,3188
"36051",2019,"Livingston","NA County",129400,3348
"36055",2019,"Monroe","NA County",148400,1035
"36069",2019,"Ontario","NA County",161800,3509
"36073",2019,"Orleans","NA County",98400,3194
"36099",2019,"Seneca","NA County",107100,3712
"36117",2019,"Wayne","NA County",123800,2646
"36123",2019,"Yates","NA County",136300,8091
"36037",2020,"Genesee","NA County",125200,3557
"36051",2020,"Livingston","NA County",134000,5007
"36055",2020,"Monroe","NA County",152000,1281
"36069",2020,"Ontario","NA County",163100,2937
"36073",2020,"Orleans","NA County",101400,4273
"36099",2020,"Seneca","NA County",107500,5182
"36117",2020,"Wayne","NA County",130000,4440
"36123",2020,"Yates","NA County",142300,7589
"36037",2021,"Genesee","NA County",130100,3473
"36051",2021,"Livingston","NA County",142000,4204
"36055",2021,"Monroe","NA County",160000,1369
"36069",2021,"Ontario","NA County",169200,3220
"36073",2021,"Orleans","NA County",107700,4154
"36099",2021,"Seneca","NA County",111800,4396
"36117",2021,"Wayne","NA County",134800,3178
"36123",2021,"Yates","NA County",146600,7181
"36037",2022,"Genesee","NA County",148600,4195
"36051",2022,"Livingston","NA County",159900,4477
"36055",2022,"Monroe","NA County",182700,2109
"36069",2022,"Ontario","NA County",192800,5129
"36073",2022,"Orleans","NA County",122200,4304
"36099",2022,"Seneca","NA County",132000,6656
"36117",2022,"Wayne","NA County",151900,3482
"36123",2022,"Yates","NA County",159800,5926
"36037",2023,"Genesee","NA County",157800,5095
"36051",2023,"Livingston","NA County",169600,4796
"36055",2023,"Monroe","NA County",197100,1647
"36069",2023,"Ontario","NA County",202900,6244
"36073",2023,"Orleans","NA County",126200,6052
"36099",2023,"Seneca","NA County",142700,7565
"36117",2023,"Wayne","NA County",163400,3755
"36123",2023,"Yates","NA County",178000,10306
"36037",2024,"Genesee","NA County",170500,3426
"36051",2024,"Livingston","NA County",174600,6073
"36055",2024,"Monroe","NA County",213700,2163
"36069",2024,"Ontario","NA County",222900,5079
"36073",2024,"Orleans","NA County",140800,5866
"36099",2024,"Seneca","NA County",155400,6917
"36117",2024,"Wayne","NA County",170000,2749
"36123",2024,"Yates","NA County",184700,12150
