"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",104100,6455
"3603701165",2015,"Genesee","Alexander town",111400,6755
"3603704715",2015,"Genesee","Batavia city",94100,3127
"3603704726",2015,"Genesee","Batavia town",108900,10406
"3603706057",2015,"Genesee","Bergen town",108000,6796
"3603706266",2015,"Genesee","Bethany town",115000,5302
"3603711572",2015,"Genesee","Byron town",102200,12315
"3603719719",2015,"Genesee","Darien town",139400,12435
"3603723756",2015,"Genesee","Elba town",114300,6296
"3603742037",2015,"Genesee","Le Roy town",100900,6815
"3603754166",2015,"Genesee","Oakfield town",95900,4915
"3603756792",2015,"Genesee","Pavilion town",113000,12130
"3603757078",2015,"Genesee","Pembroke town",128100,19047
"3603770607",2015,"Genesee","Stafford town",119200,6484
"3603775011",2015,"Genesee","Tonawanda Reservation",60800,11020
"3605103364",2015,"Livingston","Avon town",139700,7866
"3605111715",2015,"Livingston","Caledonia town",124200,6603
"3605117618",2015,"Livingston","Conesus town",129800,13140
"3605128629",2015,"Livingston","Geneseo town",157600,13582
"3605131016",2015,"Livingston","Groveland town",134200,14685
"3605141883",2015,"Livingston","Leicester town",98300,6829
"3605142334",2015,"Livingston","Lima town",140200,6401
"3605142961",2015,"Livingston","Livonia town",150800,11321
"3605148956",2015,"Livingston","Mount Morris town",79500,12726
"3605151869",2015,"Livingston","North Dansville town",85100,3268
"3605154089",2015,"Livingston","Nunda town",94600,12249
"3605155508",2015,"Livingston","Ossian town",111800,10707
"3605159179",2015,"Livingston","Portage town",78700,3913
"3605170101",2015,"Livingston","Sparta town",115100,12260
"3605170475",2015,"Livingston","Springwater town",109000,8413
"3605181006",2015,"Livingston","West Sparta town",92500,9868
"3605184022",2015,"Livingston","York town",117100,12171
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",170300,2812
"3605515462",2015,"Monroe","Chili town",136300,2185
"3605515957",2015,"Monroe","Clarkson town",137200,6734
"3605522870",2015,"Monroe","East Rochester town",94000,3036
"3605528442",2015,"Monroe","Gates town",115200,1713
"3605530290",2015,"Monroe","Greece town",128400,1851
"3605531797",2015,"Monroe","Hamlin town",108900,4078
"3605534099",2015,"Monroe","Henrietta town",139400,2475
"3605537726",2015,"Monroe","Irondequoit town",117500,1298
"3605546558",2015,"Monroe","Mendon town",239700,14266
"3605554474",2015,"Monroe","Ogden town",150700,5662
"3605556561",2015,"Monroe","Parma town",137400,6827
"3605557144",2015,"Monroe","Penfield town",179800,5802
"3605557221",2015,"Monroe","Perinton town",192600,3885
"3605558365",2015,"Monroe","Pittsford town",262200,6105
"3605561808",2015,"Monroe","Riga town",141900,7925
"3605563000",2015,"Monroe","Rochester city",76200,1289
"3605564144",2015,"Monroe","Rush town",187400,12161
"3605572455",2015,"Monroe","Sweden town",131500,6360
"3605578971",2015,"Monroe","Webster town",175200,3627
"3605581402",2015,"Monroe","Wheatland town",134700,6335
"3606908378",2015,"Ontario","Bristol town",152000,10719
"3606912100",2015,"Ontario","Canadice town",132300,28891
"3606912144",2015,"Ontario","Canandaigua city",155800,6506
"3606912155",2015,"Ontario","Canandaigua town",215400,16290
"3606921699",2015,"Ontario","East Bloomfield town",156900,13052
"3606925406",2015,"Ontario","Farmington town",145900,6268
"3606928640",2015,"Ontario","Geneva city",90700,3018
"3606928651",2015,"Ontario","Geneva town",170000,14235
"3606929531",2015,"Ontario","Gorham town",180900,18072
"3606935551",2015,"Ontario","Hopewell town",117600,8743
"3606944864",2015,"Ontario","Manchester town",92900,3826
"3606949440",2015,"Ontario","Naples town",141300,14027
"3606957529",2015,"Ontario","Phelps town",118900,6414
"3606961544",2015,"Ontario","Richmond town",138600,20611
"3606966289",2015,"Ontario","Seneca town",132100,12223
"3606968660",2015,"Ontario","South Bristol town",218100,17501
"3606977387",2015,"Ontario","Victor town",241800,15959
"3606979356",2015,"Ontario","West Bloomfield town",105100,13130
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2015,"Orleans","Albion town",89400,19211
"3607304572",2015,"Orleans","Barre town",90700,4084
"3607312496",2015,"Orleans","Carlton town",102000,14201
"3607315880",2015,"Orleans","Clarendon town",97900,10946
"3607327958",2015,"Orleans","Gaines town",87200,16627
"3607339188",2015,"Orleans","Kendall town",116700,7444
"3607349286",2015,"Orleans","Murray town",89700,3579
"3607361742",2015,"Orleans","Ridgeway town",87800,5600
"3607366751",2015,"Orleans","Shelby town",80700,7908
"3607383448",2015,"Orleans","Yates town",92100,7792
"3609918663",2015,"Seneca","Covert town",113200,8233
"3609925505",2015,"Seneca","Fayette town",125900,18087
"3609928640",2015,"Seneca","Geneva city",NA,NA
"3609938858",2015,"Seneca","Junius town",97100,3775
"3609943225",2015,"Seneca","Lodi town",97900,21426
"3609955827",2015,"Seneca","Ovid town",100800,11347
"3609963440",2015,"Seneca","Romulus town",106800,13745
"3609966333",2015,"Seneca","Seneca Falls town",96600,6486
"3609975902",2015,"Seneca","Tyre town",91300,8935
"3609976958",2015,"Seneca","Varick town",140500,23361
"3609978564",2015,"Seneca","Waterloo town",78500,3247
"3611700000",2015,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2015,"Wayne","Arcadia town",92500,6397
"3611711473",2015,"Wayne","Butler town",88700,6840
"3611728013",2015,"Wayne","Galen town",83700,3364
"3611737165",2015,"Wayne","Huron town",163900,23944
"3611743973",2015,"Wayne","Lyons town",69100,6586
"3611744160",2015,"Wayne","Macedon town",136400,7567
"3611745645",2015,"Wayne","Marion town",118500,5719
"3611755013",2015,"Wayne","Ontario town",152600,9497
"3611756198",2015,"Wayne","Palmyra town",101800,6808
"3611763605",2015,"Wayne","Rose town",83500,9096
"3611765343",2015,"Wayne","Savannah town",79200,6732
"3611768220",2015,"Wayne","Sodus town",90000,7124
"3611778102",2015,"Wayne","Walworth town",154100,7428
"3611782040",2015,"Wayne","Williamson town",123800,7043
"3611782689",2015,"Wayne","Wolcott town",81700,5323
"3612304594",2015,"Yates","Barrington town",129200,28321
"3612306002",2015,"Yates","Benton town",144300,11638
"3612338044",2015,"Yates","Italy town",92600,11076
"3612338583",2015,"Yates","Jerusalem town",160800,14272
"3612347020",2015,"Yates","Middlesex town",130000,14911
"3612347504",2015,"Yates","Milo town",113500,7414
"3612359597",2015,"Yates","Potter town",118300,11805
"3612370816",2015,"Yates","Starkey town",107000,11519
