"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",724,19
"36051",2015,"Livingston","NA County",721,23
"36055",2015,"Monroe","NA County",826,6
"36069",2015,"Ontario","NA County",809,21
"36073",2015,"Orleans","NA County",639,23
"36099",2015,"Seneca","NA County",716,28
"36117",2015,"Wayne","NA County",694,16
"36123",2015,"Yates","NA County",688,32
"36037",2016,"Genesee","NA County",716,19
"36051",2016,"Livingston","NA County",722,26
"36055",2016,"Monroe","NA County",843,5
"36069",2016,"Ontario","NA County",821,22
"36073",2016,"Orleans","NA County",658,44
"36099",2016,"Seneca","NA County",735,28
"36117",2016,"Wayne","NA County",716,25
"36123",2016,"Yates","NA County",701,28
"36037",2017,"Genesee","NA County",748,19
"36051",2017,"Livingston","NA County",755,26
"36055",2017,"Monroe","NA County",872,6
"36069",2017,"Ontario","NA County",837,17
"36073",2017,"Orleans","NA County",683,31
"36099",2017,"Seneca","NA County",750,37
"36117",2017,"Wayne","NA County",742,23
"36123",2017,"Yates","NA County",732,39
"36037",2018,"Genesee","NA County",746,23
"36051",2018,"Livingston","NA County",781,25
"36055",2018,"Monroe","NA County",902,8
"36069",2018,"Ontario","NA County",875,25
"36073",2018,"Orleans","NA County",723,22
"36099",2018,"Seneca","NA County",761,29
"36117",2018,"Wayne","NA County",757,21
"36123",2018,"Yates","NA County",753,36
"36037",2019,"Genesee","NA County",747,27
"36051",2019,"Livingston","NA County",798,24
"36055",2019,"Monroe","NA County",927,7
"36069",2019,"Ontario","NA County",896,26
"36073",2019,"Orleans","NA County",728,25
"36099",2019,"Seneca","NA County",781,23
"36117",2019,"Wayne","NA County",779,28
"36123",2019,"Yates","NA County",775,41
"36037",2020,"Genesee","NA County",786,33
"36051",2020,"Livingston","NA County",793,25
"36055",2020,"Monroe","NA County",947,8
"36069",2020,"Ontario","NA County",898,27
"36073",2020,"Orleans","NA County",782,19
"36099",2020,"Seneca","NA County",786,15
"36117",2020,"Wayne","NA County",772,29
"36123",2020,"Yates","NA County",712,58
"36037",2021,"Genesee","NA County",808,22
"36051",2021,"Livingston","NA County",843,24
"36055",2021,"Monroe","NA County",991,9
"36069",2021,"Ontario","NA County",962,33
"36073",2021,"Orleans","NA County",802,38
"36099",2021,"Seneca","NA County",828,26
"36117",2021,"Wayne","NA County",810,33
"36123",2021,"Yates","NA County",723,43
"36037",2022,"Genesee","NA County",866,27
"36051",2022,"Livingston","NA County",919,26
"36055",2022,"Monroe","NA County",1085,10
"36069",2022,"Ontario","NA County",1061,36
"36073",2022,"Orleans","NA County",840,31
"36099",2022,"Seneca","NA County",871,29
"36117",2022,"Wayne","NA County",877,29
"36123",2022,"Yates","NA County",773,62
"36037",2023,"Genesee","NA County",909,29
"36051",2023,"Livingston","NA County",912,48
"36055",2023,"Monroe","NA County",1126,10
"36069",2023,"Ontario","NA County",1126,49
"36073",2023,"Orleans","NA County",877,60
"36099",2023,"Seneca","NA County",925,32
"36117",2023,"Wayne","NA County",929,42
"36123",2023,"Yates","NA County",802,46
"36037",2024,"Genesee","NA County",929,31
"36051",2024,"Livingston","NA County",931,42
"36055",2024,"Monroe","NA County",1173,12
"36069",2024,"Ontario","NA County",1150,35
"36073",2024,"Orleans","NA County",874,35
"36099",2024,"Seneca","NA County",957,29
"36117",2024,"Wayne","NA County",938,32
"36123",2024,"Yates","NA County",834,48
