"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",625,143
"3603701165",2015,"Genesee","Alexander town",790,108
"3603704715",2015,"Genesee","Batavia city",716,28
"3603704726",2015,"Genesee","Batavia town",725,151
"3603706057",2015,"Genesee","Bergen town",738,109
"3603706266",2015,"Genesee","Bethany town",715,145
"3603711572",2015,"Genesee","Byron town",788,88
"3603719719",2015,"Genesee","Darien town",738,95
"3603723756",2015,"Genesee","Elba town",702,141
"3603742037",2015,"Genesee","Le Roy town",774,75
"3603754166",2015,"Genesee","Oakfield town",585,41
"3603756792",2015,"Genesee","Pavilion town",734,84
"3603757078",2015,"Genesee","Pembroke town",807,135
"3603770607",2015,"Genesee","Stafford town",672,78
"3603775011",2015,"Genesee","Tonawanda Reservation",700,182
"3605103364",2015,"Livingston","Avon town",789,66
"3605111715",2015,"Livingston","Caledonia town",746,65
"3605117618",2015,"Livingston","Conesus town",950,194
"3605128629",2015,"Livingston","Geneseo town",752,40
"3605131016",2015,"Livingston","Groveland town",740,131
"3605141883",2015,"Livingston","Leicester town",786,68
"3605142334",2015,"Livingston","Lima town",664,38
"3605142961",2015,"Livingston","Livonia town",818,103
"3605148956",2015,"Livingston","Mount Morris town",662,77
"3605151869",2015,"Livingston","North Dansville town",652,102
"3605154089",2015,"Livingston","Nunda town",535,160
"3605155508",2015,"Livingston","Ossian town",565,227
"3605159179",2015,"Livingston","Portage town",665,152
"3605170101",2015,"Livingston","Sparta town",833,221
"3605170475",2015,"Livingston","Springwater town",734,46
"3605181006",2015,"Livingston","West Sparta town",725,123
"3605184022",2015,"Livingston","York town",699,113
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",943,19
"3605515462",2015,"Monroe","Chili town",898,43
"3605515957",2015,"Monroe","Clarkson town",745,141
"3605522870",2015,"Monroe","East Rochester town",825,27
"3605528442",2015,"Monroe","Gates town",805,46
"3605530290",2015,"Monroe","Greece town",850,21
"3605531797",2015,"Monroe","Hamlin town",770,47
"3605534099",2015,"Monroe","Henrietta town",944,54
"3605537726",2015,"Monroe","Irondequoit town",822,19
"3605546558",2015,"Monroe","Mendon town",808,79
"3605554474",2015,"Monroe","Ogden town",863,53
"3605556561",2015,"Monroe","Parma town",871,86
"3605557144",2015,"Monroe","Penfield town",894,44
"3605557221",2015,"Monroe","Perinton town",912,38
"3605558365",2015,"Monroe","Pittsford town",1059,78
"3605561808",2015,"Monroe","Riga town",762,126
"3605563000",2015,"Monroe","Rochester city",770,7
"3605564144",2015,"Monroe","Rush town",822,121
"3605572455",2015,"Monroe","Sweden town",793,63
"3605578971",2015,"Monroe","Webster town",954,40
"3605581402",2015,"Monroe","Wheatland town",941,44
"3606908378",2015,"Ontario","Bristol town",494,344
"3606912100",2015,"Ontario","Canadice town",746,273
"3606912144",2015,"Ontario","Canandaigua city",785,29
"3606912155",2015,"Ontario","Canandaigua town",984,115
"3606921699",2015,"Ontario","East Bloomfield town",719,26
"3606925406",2015,"Ontario","Farmington town",991,65
"3606928640",2015,"Ontario","Geneva city",708,27
"3606928651",2015,"Ontario","Geneva town",817,167
"3606929531",2015,"Ontario","Gorham town",588,247
"3606935551",2015,"Ontario","Hopewell town",966,269
"3606944864",2015,"Ontario","Manchester town",724,52
"3606949440",2015,"Ontario","Naples town",703,112
"3606957529",2015,"Ontario","Phelps town",736,36
"3606961544",2015,"Ontario","Richmond town",904,486
"3606966289",2015,"Ontario","Seneca town",708,123
"3606968660",2015,"Ontario","South Bristol town",781,175
"3606977387",2015,"Ontario","Victor town",1322,66
"3606979356",2015,"Ontario","West Bloomfield town",704,139
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2015,"Orleans","Albion town",611,44
"3607304572",2015,"Orleans","Barre town",825,151
"3607312496",2015,"Orleans","Carlton town",NA,NA
"3607315880",2015,"Orleans","Clarendon town",697,169
"3607327958",2015,"Orleans","Gaines town",536,150
"3607339188",2015,"Orleans","Kendall town",738,169
"3607349286",2015,"Orleans","Murray town",645,31
"3607361742",2015,"Orleans","Ridgeway town",684,56
"3607366751",2015,"Orleans","Shelby town",629,59
"3607383448",2015,"Orleans","Yates town",706,82
"3609918663",2015,"Seneca","Covert town",876,74
"3609925505",2015,"Seneca","Fayette town",728,111
"3609928640",2015,"Seneca","Geneva city",NA,NA
"3609938858",2015,"Seneca","Junius town",692,77
"3609943225",2015,"Seneca","Lodi town",550,100
"3609955827",2015,"Seneca","Ovid town",682,62
"3609963440",2015,"Seneca","Romulus town",832,89
"3609966333",2015,"Seneca","Seneca Falls town",722,36
"3609975902",2015,"Seneca","Tyre town",NA,NA
"3609976958",2015,"Seneca","Varick town",902,176
"3609978564",2015,"Seneca","Waterloo town",680,60
"3611700000",2015,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2015,"Wayne","Arcadia town",657,34
"3611711473",2015,"Wayne","Butler town",498,121
"3611728013",2015,"Wayne","Galen town",737,48
"3611737165",2015,"Wayne","Huron town",638,329
"3611743973",2015,"Wayne","Lyons town",633,50
"3611744160",2015,"Wayne","Macedon town",761,44
"3611745645",2015,"Wayne","Marion town",699,210
"3611755013",2015,"Wayne","Ontario town",752,93
"3611756198",2015,"Wayne","Palmyra town",712,40
"3611763605",2015,"Wayne","Rose town",831,54
"3611765343",2015,"Wayne","Savannah town",892,295
"3611768220",2015,"Wayne","Sodus town",724,142
"3611778102",2015,"Wayne","Walworth town",700,110
"3611782040",2015,"Wayne","Williamson town",646,107
"3611782689",2015,"Wayne","Wolcott town",577,56
"3612304594",2015,"Yates","Barrington town",881,274
"3612306002",2015,"Yates","Benton town",692,50
"3612338044",2015,"Yates","Italy town",645,307
"3612338583",2015,"Yates","Jerusalem town",844,341
"3612347020",2015,"Yates","Middlesex town",710,140
"3612347504",2015,"Yates","Milo town",651,53
"3612359597",2015,"Yates","Potter town",725,63
"3612370816",2015,"Yates","Starkey town",695,93
"3612375055",2015,"Yates","Torrey town",725,266
"3603700474",2016,"Genesee","Alabama town",544,188
"3603701165",2016,"Genesee","Alexander town",784,85
"3603704715",2016,"Genesee","Batavia city",730,26
"3603704726",2016,"Genesee","Batavia town",591,161
"3603706057",2016,"Genesee","Bergen town",752,173
"3603706266",2016,"Genesee","Bethany town",741,132
"3603711572",2016,"Genesee","Byron town",755,63
"3603719719",2016,"Genesee","Darien town",769,97
"3603723756",2016,"Genesee","Elba town",650,96
"3603742037",2016,"Genesee","Le Roy town",703,61
"3603754166",2016,"Genesee","Oakfield town",592,36
"3603756792",2016,"Genesee","Pavilion town",703,81
"3603757078",2016,"Genesee","Pembroke town",736,129
"3603770607",2016,"Genesee","Stafford town",688,97
"3603775011",2016,"Genesee","Tonawanda Reservation",NA,NA
"3605103364",2016,"Livingston","Avon town",796,95
"3605111715",2016,"Livingston","Caledonia town",753,35
"3605117618",2016,"Livingston","Conesus town",965,211
"3605128629",2016,"Livingston","Geneseo town",794,59
"3605131016",2016,"Livingston","Groveland town",717,87
"3605141883",2016,"Livingston","Leicester town",776,78
"3605142334",2016,"Livingston","Lima town",694,41
"3605142961",2016,"Livingston","Livonia town",798,195
"3605148956",2016,"Livingston","Mount Morris town",644,73
"3605151869",2016,"Livingston","North Dansville town",659,75
"3605154089",2016,"Livingston","Nunda town",509,157
"3605155508",2016,"Livingston","Ossian town",567,179
"3605159179",2016,"Livingston","Portage town",650,186
"3605170101",2016,"Livingston","Sparta town",850,86
"3605170475",2016,"Livingston","Springwater town",735,66
"3605181006",2016,"Livingston","West Sparta town",699,141
"3605184022",2016,"Livingston","York town",680,82
"3605500000",2016,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2016,"Monroe","Brighton town",951,19
"3605515462",2016,"Monroe","Chili town",961,70
"3605515957",2016,"Monroe","Clarkson town",784,171
"3605522870",2016,"Monroe","East Rochester town",824,27
"3605528442",2016,"Monroe","Gates town",827,40
"3605530290",2016,"Monroe","Greece town",871,17
"3605531797",2016,"Monroe","Hamlin town",713,129
"3605534099",2016,"Monroe","Henrietta town",973,40
"3605537726",2016,"Monroe","Irondequoit town",844,18
"3605546558",2016,"Monroe","Mendon town",881,82
"3605554474",2016,"Monroe","Ogden town",862,58
"3605556561",2016,"Monroe","Parma town",949,66
"3605557144",2016,"Monroe","Penfield town",886,36
"3605557221",2016,"Monroe","Perinton town",943,32
"3605558365",2016,"Monroe","Pittsford town",1081,70
"3605561808",2016,"Monroe","Riga town",782,52
"3605563000",2016,"Monroe","Rochester city",779,7
"3605564144",2016,"Monroe","Rush town",741,175
"3605572455",2016,"Monroe","Sweden town",796,52
"3605578971",2016,"Monroe","Webster town",970,32
"3605581402",2016,"Monroe","Wheatland town",1005,91
"3606908378",2016,"Ontario","Bristol town",NA,NA
"3606912100",2016,"Ontario","Canadice town",692,329
"3606912144",2016,"Ontario","Canandaigua city",799,30
"3606912155",2016,"Ontario","Canandaigua town",952,69
"3606921699",2016,"Ontario","East Bloomfield town",714,67
"3606925406",2016,"Ontario","Farmington town",1070,55
"3606928640",2016,"Ontario","Geneva city",709,34
"3606928651",2016,"Ontario","Geneva town",886,117
"3606929531",2016,"Ontario","Gorham town",565,60
"3606935551",2016,"Ontario","Hopewell town",785,194
