"GEOID","year","County","Geography","estimate","moe"
"36037",2017,"Genesee","NA County",7.6,1
"36051",2017,"Livingston","NA County",7.8,1.3
"36055",2017,"Monroe","NA County",11.5,0.3
"36069",2017,"Ontario","NA County",7.1,0.8
"36073",2017,"Orleans","NA County",7.6,1.2
"36099",2017,"Seneca","NA County",7.6,1.7
"36117",2017,"Wayne","NA County",6.9,0.8
"36123",2017,"Yates","NA County",13.3,1.6
"36037",2018,"Genesee","NA County",8.2,1.1
"36051",2018,"Livingston","NA County",7.8,1.3
"36055",2018,"Monroe","NA County",11.3,0.4
"36069",2018,"Ontario","NA County",7.3,0.8
"36073",2018,"Orleans","NA County",8,1.6
"36099",2018,"Seneca","NA County",8.1,1.3
"36117",2018,"Wayne","NA County",6.8,0.8
"36123",2018,"Yates","NA County",12.8,1.7
"36037",2019,"Genesee","NA County",8.4,1.1
"36051",2019,"Livingston","NA County",7.3,1.1
"36055",2019,"Monroe","NA County",11.3,0.4
"36069",2019,"Ontario","NA County",7.1,0.8
"36073",2019,"Orleans","NA County",8.5,1.5
"36099",2019,"Seneca","NA County",8.2,1.4
"36117",2019,"Wayne","NA County",7.2,0.7
"36123",2019,"Yates","NA County",12.2,1.8
"36037",2020,"Genesee","NA County",9.8,1.6
"36051",2020,"Livingston","NA County",6.2,1.1
"36055",2020,"Monroe","NA County",11.3,0.5
"36069",2020,"Ontario","NA County",6.8,0.9
"36073",2020,"Orleans","NA County",7.6,1.4
"36099",2020,"Seneca","NA County",8.4,1.6
"36117",2020,"Wayne","NA County",7.7,1.1
"36123",2020,"Yates","NA County",12.4,2
"36037",2021,"Genesee","NA County",9.1,1.3
"36051",2021,"Livingston","NA County",5.9,1
"36055",2021,"Monroe","NA County",11,0.5
"36069",2021,"Ontario","NA County",6.7,0.7
"36073",2021,"Orleans","NA County",8,1.6
"36099",2021,"Seneca","NA County",8.3,1.5
"36117",2021,"Wayne","NA County",7.9,1
"36123",2021,"Yates","NA County",12.9,1.8
"36037",2022,"Genesee","NA County",9.8,1.4
"36051",2022,"Livingston","NA County",6,0.9
"36055",2022,"Monroe","NA County",10.9,0.5
"36069",2022,"Ontario","NA County",6.5,0.7
"36073",2022,"Orleans","NA County",7.6,1.6
"36099",2022,"Seneca","NA County",8.7,1.8
"36117",2022,"Wayne","NA County",7.3,1
"36123",2022,"Yates","NA County",13,2
"36037",2023,"Genesee","NA County",8.4,1.4
"36051",2023,"Livingston","NA County",5.9,0.9
"36055",2023,"Monroe","NA County",10.9,0.5
"36069",2023,"Ontario","NA County",6.4,0.8
"36073",2023,"Orleans","NA County",6.8,1.6
"36099",2023,"Seneca","NA County",8.8,1.7
"36117",2023,"Wayne","NA County",7,1
"36123",2023,"Yates","NA County",13,1.8
