"GEOID","year","County","Geography","estimate","moe"
"3603700474",2017,"Genesee","Alabama town",5.4,3.8
"3603701165",2017,"Genesee","Alexander town",3.4,1.8
"3603704715",2017,"Genesee","Batavia city",16.4,3.1
"3603704726",2017,"Genesee","Batavia town",2,1.9
"3603706057",2017,"Genesee","Bergen town",7.7,4
"3603706266",2017,"Genesee","Bethany town",3.8,2
"3603711572",2017,"Genesee","Byron town",4.1,3
"3603719719",2017,"Genesee","Darien town",2.2,1.7
"3603723756",2017,"Genesee","Elba town",5.3,3.3
"3603742037",2017,"Genesee","Le Roy town",4.5,1.9
"3603754166",2017,"Genesee","Oakfield town",6.2,3.2
"3603756792",2017,"Genesee","Pavilion town",2.2,1.5
"3603757078",2017,"Genesee","Pembroke town",6.1,4.2
"3603770607",2017,"Genesee","Stafford town",6.2,3.9
"3603775011",2017,"Genesee","Tonawanda Reservation",22.9,8.7
"3605103364",2017,"Livingston","Avon town",9.2,3.4
"3605111715",2017,"Livingston","Caledonia town",4,1.9
"3605117618",2017,"Livingston","Conesus town",4.5,3.4
"3605128629",2017,"Livingston","Geneseo town",14.8,4.9
"3605131016",2017,"Livingston","Groveland town",5.7,4.3
"3605141883",2017,"Livingston","Leicester town",7.5,4.1
"3605142334",2017,"Livingston","Lima town",5.7,3.1
"3605142961",2017,"Livingston","Livonia town",1.9,1.5
"3605148956",2017,"Livingston","Mount Morris town",12.4,4.5
"3605151869",2017,"Livingston","North Dansville town",14.2,6.7
"3605154089",2017,"Livingston","Nunda town",5.5,2.7
"3605155508",2017,"Livingston","Ossian town",2.2,2.4
"3605159179",2017,"Livingston","Portage town",5.6,3.9
"3605170101",2017,"Livingston","Sparta town",2.8,2.1
"3605170475",2017,"Livingston","Springwater town",2.3,1.6
"3605181006",2017,"Livingston","West Sparta town",3,3.7
"3605184022",2017,"Livingston","York town",5.9,5.1
"3605500000",2017,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2017,"Monroe","Brighton town",7.7,1.4
"3605515462",2017,"Monroe","Chili town",4.7,1.5
"3605515957",2017,"Monroe","Clarkson town",8,4.5
"3605522870",2017,"Monroe","East Rochester town",9.4,3.4
"3605528442",2017,"Monroe","Gates town",8.5,1.8
"3605530290",2017,"Monroe","Greece town",7.2,0.8
"3605531797",2017,"Monroe","Hamlin town",2.9,1.9
"3605534099",2017,"Monroe","Henrietta town",5.4,1.3
"3605537726",2017,"Monroe","Irondequoit town",6,1.1
"3605546558",2017,"Monroe","Mendon town",4.3,1.6
"3605554474",2017,"Monroe","Ogden town",2.5,1.2
"3605556561",2017,"Monroe","Parma town",4.1,2.2
"3605557144",2017,"Monroe","Penfield town",5.4,1.1
"3605557221",2017,"Monroe","Perinton town",5.6,1.1
"3605558365",2017,"Monroe","Pittsford town",3.4,1
"3605561808",2017,"Monroe","Riga town",4.5,2.1
"3605563000",2017,"Monroe","Rochester city",25.3,0.8
"3605564144",2017,"Monroe","Rush town",1.2,1.4
"3605572455",2017,"Monroe","Sweden town",10.4,2.8
