"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",11.7,4.6
"3603701165",2015,"Genesee","Alexander town",8,3.7
"3603704715",2015,"Genesee","Batavia city",22.8,2.9
"3603704726",2015,"Genesee","Batavia town",8.1,5.4
"3603706057",2015,"Genesee","Bergen town",13.5,5.3
"3603706266",2015,"Genesee","Bethany town",7.1,3.9
"3603711572",2015,"Genesee","Byron town",11,5.9
"3603719719",2015,"Genesee","Darien town",10.8,6.3
"3603723756",2015,"Genesee","Elba town",7.6,4.2
"3603742037",2015,"Genesee","Le Roy town",10,3.2
"3603754166",2015,"Genesee","Oakfield town",8.7,3.9
"3603756792",2015,"Genesee","Pavilion town",13.7,6.9
"3603757078",2015,"Genesee","Pembroke town",10.9,6.4
"3603770607",2015,"Genesee","Stafford town",8.2,3.6
"3603775011",2015,"Genesee","Tonawanda Reservation",20.3,5.6
"3605103364",2015,"Livingston","Avon town",8.4,2.9
"3605111715",2015,"Livingston","Caledonia town",5.8,2.1
"3605117618",2015,"Livingston","Conesus town",12.7,4.7
"3605128629",2015,"Livingston","Geneseo town",30.2,4.8
"3605131016",2015,"Livingston","Groveland town",9.3,4.5
"3605141883",2015,"Livingston","Leicester town",14,7.9
"3605142334",2015,"Livingston","Lima town",11.1,3.3
"3605142961",2015,"Livingston","Livonia town",12,6.7
"3605148956",2015,"Livingston","Mount Morris town",20.4,6.8
"3605151869",2015,"Livingston","North Dansville town",21,7.2
"3605154089",2015,"Livingston","Nunda town",13.6,3.8
"3605155508",2015,"Livingston","Ossian town",9.9,4.6
"3605159179",2015,"Livingston","Portage town",15.6,5.8
"3605170101",2015,"Livingston","Sparta town",7,3
"3605170475",2015,"Livingston","Springwater town",12.6,5
"3605181006",2015,"Livingston","West Sparta town",26.2,10.3
"3605184022",2015,"Livingston","York town",6.4,4.6
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",9.5,1.9
"3605515462",2015,"Monroe","Chili town",6.2,1.5
"3605515957",2015,"Monroe","Clarkson town",7.8,4.8
"3605522870",2015,"Monroe","East Rochester town",18.9,6
"3605528442",2015,"Monroe","Gates town",10.1,2.3
"3605530290",2015,"Monroe","Greece town",9.3,1.8
"3605531797",2015,"Monroe","Hamlin town",9.1,3.1
"3605534099",2015,"Monroe","Henrietta town",12.2,1.9
"3605537726",2015,"Monroe","Irondequoit town",8.5,1.5
"3605546558",2015,"Monroe","Mendon town",4.5,2.3
"3605554474",2015,"Monroe","Ogden town",5,1.4
"3605556561",2015,"Monroe","Parma town",6.2,3
"3605557144",2015,"Monroe","Penfield town",4.3,1.1
"3605557221",2015,"Monroe","Perinton town",6.1,1.3
"3605558365",2015,"Monroe","Pittsford town",3.9,0.9
"3605561808",2015,"Monroe","Riga town",8.4,3.6
