"GEOID","year","County","Geography","estimate","moe"
"3603700474",2017,"Genesee","Alabama town",7.6,3.6
"3603701165",2017,"Genesee","Alexander town",9.8,4.3
"3603704715",2017,"Genesee","Batavia city",22.6,3.2
"3603704726",2017,"Genesee","Batavia town",6.3,2.6
"3603706057",2017,"Genesee","Bergen town",14.2,7.3
"3603706266",2017,"Genesee","Bethany town",8.1,4.7
"3603711572",2017,"Genesee","Byron town",7.1,4.1
"3603719719",2017,"Genesee","Darien town",6.4,3.3
"3603723756",2017,"Genesee","Elba town",10,5.3
"3603742037",2017,"Genesee","Le Roy town",11.7,3.9
"3603754166",2017,"Genesee","Oakfield town",9.8,5.6
"3603756792",2017,"Genesee","Pavilion town",5.2,2.2
"3603757078",2017,"Genesee","Pembroke town",7.3,3.7
"3603770607",2017,"Genesee","Stafford town",9,4.5
"3603775011",2017,"Genesee","Tonawanda Reservation",11.1,6.6
"3605103364",2017,"Livingston","Avon town",11.9,3.7
"3605111715",2017,"Livingston","Caledonia town",7.6,3
"3605117618",2017,"Livingston","Conesus town",8.8,3.8
"3605128629",2017,"Livingston","Geneseo town",10.7,3.2
"3605131016",2017,"Livingston","Groveland town",10.9,5.1
"3605141883",2017,"Livingston","Leicester town",12.3,5.5
"3605142334",2017,"Livingston","Lima town",8.2,2.7
"3605142961",2017,"Livingston","Livonia town",11.8,5.1
"3605148956",2017,"Livingston","Mount Morris town",20,5.6
"3605151869",2017,"Livingston","North Dansville town",31.1,8.4
"3605154089",2017,"Livingston","Nunda town",13.5,4.4
"3605155508",2017,"Livingston","Ossian town",4.4,3.8
"3605159179",2017,"Livingston","Portage town",21.1,6.4
"3605170101",2017,"Livingston","Sparta town",8,3.3
"3605170475",2017,"Livingston","Springwater town",12.8,5.2
"3605181006",2017,"Livingston","West Sparta town",15.2,6.1
"3605184022",2017,"Livingston","York town",9,5.9
"3605500000",2017,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2017,"Monroe","Brighton town",4.5,1.2
"3605515462",2017,"Monroe","Chili town",6.6,1.6
"3605515957",2017,"Monroe","Clarkson town",7.9,3.6
"3605522870",2017,"Monroe","East Rochester town",11.1,4.4
"3605528442",2017,"Monroe","Gates town",10.3,1.8
"3605530290",2017,"Monroe","Greece town",9.4,1
"3605531797",2017,"Monroe","Hamlin town",8.1,2.8
"3605534099",2017,"Monroe","Henrietta town",9.3,1.8
"3605537726",2017,"Monroe","Irondequoit town",9.7,1.5
"3605546558",2017,"Monroe","Mendon town",1.8,1.1
"3605554474",2017,"Monroe","Ogden town",6.6,1.9
"3605556561",2017,"Monroe","Parma town",5.4,2.2
"3605557144",2017,"Monroe","Penfield town",3.3,0.9
"3605557221",2017,"Monroe","Perinton town",5.3,1.1
"3605558365",2017,"Monroe","Pittsford town",1.2,0.6
"3605561808",2017,"Monroe","Riga town",6.7,3.4
"3605563000",2017,"Monroe","Rochester city",34.9,0.8
"3605564144",2017,"Monroe","Rush town",7.5,4.3
"3605572455",2017,"Monroe","Sweden town",10.1,2
"3605578971",2017,"Monroe","Webster town",5.7,1.1
"3605581402",2017,"Monroe","Wheatland town",8.1,3.7
"3606908378",2017,"Ontario","Bristol town",3.6,2.2
"3606912100",2017,"Ontario","Canadice town",6,2.5
"3606912144",2017,"Ontario","Canandaigua city",13,2.2
"3606912155",2017,"Ontario","Canandaigua town",6.1,2.2
"3606921699",2017,"Ontario","East Bloomfield town",7.9,3.5
"3606925406",2017,"Ontario","Farmington town",7.4,2.9
"3606928640",2017,"Ontario","Geneva city",22.8,3.6
"3606928651",2017,"Ontario","Geneva town",13.6,5.3
"3606929531",2017,"Ontario","Gorham town",6.4,3.3
"3606935551",2017,"Ontario","Hopewell town",9.7,3.9
"3606944864",2017,"Ontario","Manchester town",14.9,3.2
"3606949440",2017,"Ontario","Naples town",8.1,3.7
"3606957529",2017,"Ontario","Phelps town",6.5,2.9
"3606961544",2017,"Ontario","Richmond town",11.6,7.1
"3606966289",2017,"Ontario","Seneca town",2.3,1.8
"3606968660",2017,"Ontario","South Bristol town",3.3,3.1
"3606977387",2017,"Ontario","Victor town",4.1,1.4
"3606979356",2017,"Ontario","West Bloomfield town",7.1,3.1
"3607300000",2017,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2017,"Orleans","Albion town",30.3,7.8
"3607304572",2017,"Orleans","Barre town",10.7,4.3
"3607312496",2017,"Orleans","Carlton town",13,6.4
"3607315880",2017,"Orleans","Clarendon town",12.9,4.8
"3607327958",2017,"Orleans","Gaines town",15.4,7.2
"3607339188",2017,"Orleans","Kendall town",9.8,4.2
"3607349286",2017,"Orleans","Murray town",16.7,4.9
"3607361742",2017,"Orleans","Ridgeway town",20.1,5.3
"3607366751",2017,"Orleans","Shelby town",14.1,4.9
"3607383448",2017,"Orleans","Yates town",6.9,2.9
"3609918663",2017,"Seneca","Covert town",3.8,2
"3609925505",2017,"Seneca","Fayette town",5.5,2.7
"3609928640",2017,"Seneca","Geneva city",NA,NA
"3609938858",2017,"Seneca","Junius town",4.9,4
"3609943225",2017,"Seneca","Lodi town",10.8,4.6
"3609955827",2017,"Seneca","Ovid town",13.4,4
"3609963440",2017,"Seneca","Romulus town",7.4,5.2
"3609966333",2017,"Seneca","Seneca Falls town",16.9,4.1
"3609975902",2017,"Seneca","Tyre town",8.7,5
"3609976958",2017,"Seneca","Varick town",9.5,4.1
"3609978564",2017,"Seneca","Waterloo town",14.6,5
"3611700000",2017,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2017,"Wayne","Arcadia town",16.3,3.1
"3611711473",2017,"Wayne","Butler town",17.3,4.9
"3611728013",2017,"Wayne","Galen town",14.3,4.5
"3611737165",2017,"Wayne","Huron town",3.3,2.3
"3611743973",2017,"Wayne","Lyons town",12.1,5
"3611744160",2017,"Wayne","Macedon town",7.1,2.2
"3611745645",2017,"Wayne","Marion town",10.5,3.8
"3611755013",2017,"Wayne","Ontario town",6,2.7
"3611756198",2017,"Wayne","Palmyra town",13.1,2.9
"3611763605",2017,"Wayne","Rose town",17.1,7.2
"3611765343",2017,"Wayne","Savannah town",17.7,5.9
"3611768220",2017,"Wayne","Sodus town",15.7,3.5
"3611778102",2017,"Wayne","Walworth town",2.6,1.5
"3611782040",2017,"Wayne","Williamson town",15.5,4.1
"3611782689",2017,"Wayne","Wolcott town",13.2,2.9
"3612304594",2017,"Yates","Barrington town",2.4,2
"3612306002",2017,"Yates","Benton town",3.6,2.6
"3612338044",2017,"Yates","Italy town",15.7,5.9
"3612338583",2017,"Yates","Jerusalem town",6.5,4
"3612347020",2017,"Yates","Middlesex town",12.5,5
"3612347504",2017,"Yates","Milo town",14.9,4.3
"3612359597",2017,"Yates","Potter town",12.1,4.6
"3612370816",2017,"Yates","Starkey town",18.2,6.4
"3612375055",2017,"Yates","Torrey town",11.2,5.6
"3603700474",2018,"Genesee","Alabama town",6.6,3.6
"3603701165",2018,"Genesee","Alexander town",11.9,4
"3603704715",2018,"Genesee","Batavia city",20.6,2.7
"3603704726",2018,"Genesee","Batavia town",7.5,3.1
"3603706057",2018,"Genesee","Bergen town",11.6,6.6
"3603706266",2018,"Genesee","Bethany town",7.6,4.9
