"GEOID","year","County","Geography","estimate","moe"
"36037",2017,"Genesee","NA County",76,1.6
"36051",2017,"Livingston","NA County",79.5,1.3
"36055",2017,"Monroe","NA County",79.9,0.4
"36069",2017,"Ontario","NA County",81.2,1.3
"36073",2017,"Orleans","NA County",75.4,2.3
"36099",2017,"Seneca","NA County",76.4,1.7
"36117",2017,"Wayne","NA County",73.9,1.5
"36123",2017,"Yates","NA County",70.6,2.5
"36037",2018,"Genesee","NA County",79,1.3
"36051",2018,"Livingston","NA County",81.7,1.3
"36055",2018,"Monroe","NA County",82.2,0.4
"36069",2018,"Ontario","NA County",83.4,1.1
"36073",2018,"Orleans","NA County",78.7,2
"36099",2018,"Seneca","NA County",77.8,1.5
"36117",2018,"Wayne","NA County",77.3,1.3
"36123",2018,"Yates","NA County",72.4,2.7
"36037",2019,"Genesee","NA County",81,1.6
"36051",2019,"Livingston","NA County",84.2,1.2
"36055",2019,"Monroe","NA County",84.5,0.4
"36069",2019,"Ontario","NA County",85.3,1.1
"36073",2019,"Orleans","NA County",81.4,1.9
"36099",2019,"Seneca","NA County",80.1,1.6
"36117",2019,"Wayne","NA County",81.5,1.2
"36123",2019,"Yates","NA County",75.9,2.3
"36037",2020,"Genesee","NA County",83,2
"36051",2020,"Livingston","NA County",85.5,1.3
"36055",2020,"Monroe","NA County",86.5,0.4
"36069",2020,"Ontario","NA County",87,1.1
"36073",2020,"Orleans","NA County",82.5,2.3
"36099",2020,"Seneca","NA County",82.3,1.9
"36117",2020,"Wayne","NA County",85.1,1.5
"36123",2020,"Yates","NA County",74.9,2.9
"36037",2021,"Genesee","NA County",86.1,1.5
"36051",2021,"Livingston","NA County",86.9,1.6
"36055",2021,"Monroe","NA County",87.7,0.5
"36069",2021,"Ontario","NA County",88.2,0.9
"36073",2021,"Orleans","NA County",83.8,2.2
"36099",2021,"Seneca","NA County",83.7,1.9
"36117",2021,"Wayne","NA County",86.3,1.1
"36123",2021,"Yates","NA County",77.2,2.7
"36037",2022,"Genesee","NA County",88,1.6
"36051",2022,"Livingston","NA County",87.5,1.5
"36055",2022,"Monroe","NA County",88.6,0.4
"36069",2022,"Ontario","NA County",89.7,0.9
"36073",2022,"Orleans","NA County",86,2.1
"36099",2022,"Seneca","NA County",83.9,1.9
"36117",2022,"Wayne","NA County",87.1,1.4
"36123",2022,"Yates","NA County",77.6,2.9
"36037",2023,"Genesee","NA County",89,1.7
"36051",2023,"Livingston","NA County",88.1,1.4
"36055",2023,"Monroe","NA County",89.5,0.4
"36069",2023,"Ontario","NA County",90.6,0.8
"36073",2023,"Orleans","NA County",87.1,1.8
"36099",2023,"Seneca","NA County",84.8,2
"36117",2023,"Wayne","NA County",88.4,1.3
"36123",2023,"Yates","NA County",78.6,2.3
"36037",2024,"Genesee","NA County",90.4,1.4
"36051",2024,"Livingston","NA County",88.8,1.5
"36055",2024,"Monroe","NA County",90.5,0.4
"36069",2024,"Ontario","NA County",91.5,1
"36073",2024,"Orleans","NA County",87.4,2
"36099",2024,"Seneca","NA County",86.6,2.1
"36117",2024,"Wayne","NA County",89.8,1.2
"36123",2024,"Yates","NA County",79.4,2.6
