"GEOID","year","County","Geography","estimate","moe"
"3603700474",2017,"Genesee","Alabama town",72.8,6
"3603701165",2017,"Genesee","Alexander town",74.1,5.9
"3603704715",2017,"Genesee","Batavia city",72.3,3.3
"3603704726",2017,"Genesee","Batavia town",75.7,7.5
"3603706057",2017,"Genesee","Bergen town",82.1,6.6
"3603706266",2017,"Genesee","Bethany town",70.8,6.4
"3603711572",2017,"Genesee","Byron town",76.7,6.1
"3603719719",2017,"Genesee","Darien town",82.6,5.5
"3603723756",2017,"Genesee","Elba town",80,5.8
"3603742037",2017,"Genesee","Le Roy town",76.3,4.5
"3603754166",2017,"Genesee","Oakfield town",82.7,4.1
"3603756792",2017,"Genesee","Pavilion town",75.8,5.6
"3603757078",2017,"Genesee","Pembroke town",79.6,6.1
"3603770607",2017,"Genesee","Stafford town",77.3,5
"3603775011",2017,"Genesee","Tonawanda Reservation",66.4,10
"3605103364",2017,"Livingston","Avon town",84.3,4.6
"3605111715",2017,"Livingston","Caledonia town",80.3,4.6
"3605117618",2017,"Livingston","Conesus town",80.2,6
"3605128629",2017,"Livingston","Geneseo town",83.5,5.1
"3605131016",2017,"Livingston","Groveland town",77.3,6.5
"3605141883",2017,"Livingston","Leicester town",72.9,6.5
"3605142334",2017,"Livingston","Lima town",78.1,4.8
"3605142961",2017,"Livingston","Livonia town",90.7,3.9
"3605148956",2017,"Livingston","Mount Morris town",69.1,8.3
"3605151869",2017,"Livingston","North Dansville town",71.4,6.7
"3605154089",2017,"Livingston","Nunda town",71.6,6.3
"3605155508",2017,"Livingston","Ossian town",77.7,7.6
"3605159179",2017,"Livingston","Portage town",64.7,9
"3605170101",2017,"Livingston","Sparta town",77.9,4.4
"3605170475",2017,"Livingston","Springwater town",80.6,4.9
"3605181006",2017,"Livingston","West Sparta town",70.6,7.2
"3605184022",2017,"Livingston","York town",83,5.9
"3605500000",2017,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2017,"Monroe","Brighton town",84.4,2.1
"3605515462",2017,"Monroe","Chili town",87.8,2
"3605515957",2017,"Monroe","Clarkson town",82.9,5.8
"3605522870",2017,"Monroe","East Rochester town",76.7,4.7
"3605528442",2017,"Monroe","Gates town",82,2
"3605530290",2017,"Monroe","Greece town",81.6,1.3
"3605531797",2017,"Monroe","Hamlin town",86.3,3.8
"3605534099",2017,"Monroe","Henrietta town",85.4,2.3
"3605537726",2017,"Monroe","Irondequoit town",77.4,1.6
"3605546558",2017,"Monroe","Mendon town",92.4,2.7
"3605554474",2017,"Monroe","Ogden town",88.8,2
"3605556561",2017,"Monroe","Parma town",84.3,2.9
"3605557144",2017,"Monroe","Penfield town",85.8,2
"3605557221",2017,"Monroe","Perinton town",87.7,1.6
"3605558365",2017,"Monroe","Pittsford town",90.5,1.6
"3605561808",2017,"Monroe","Riga town",88.9,3.7
"3605563000",2017,"Monroe","Rochester city",69,0.9
"3605564144",2017,"Monroe","Rush town",88.2,5
"3605572455",2017,"Monroe","Sweden town",83.5,3
"3605578971",2017,"Monroe","Webster town",85.5,1.8
"3605581402",2017,"Monroe","Wheatland town",89.6,2.9
"3606908378",2017,"Ontario","Bristol town",85.1,4.2
"3606912100",2017,"Ontario","Canadice town",80.3,5.4
"3606912144",2017,"Ontario","Canandaigua city",78.5,3.3
"3606912155",2017,"Ontario","Canandaigua town",81.1,4.1
"3606921699",2017,"Ontario","East Bloomfield town",82.5,5.4
"3606925406",2017,"Ontario","Farmington town",86.3,3.3
"3606928640",2017,"Ontario","Geneva city",72.5,3.6
"3606928651",2017,"Ontario","Geneva town",73.5,6.4
"3606929531",2017,"Ontario","Gorham town",82.4,5.1
"3606935551",2017,"Ontario","Hopewell town",79.4,6.6
"3606944864",2017,"Ontario","Manchester town",74.7,3.6
"3606949440",2017,"Ontario","Naples town",83,4.1
"3606957529",2017,"Ontario","Phelps town",80.2,5
"3606961544",2017,"Ontario","Richmond town",93.6,4
"3606966289",2017,"Ontario","Seneca town",79.1,5.7
"3606968660",2017,"Ontario","South Bristol town",91.2,3.6
