"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",7.8,3.9
"3603701165",2015,"Genesee","Alexander town",1.3,1.2
"3603704715",2015,"Genesee","Batavia city",7.2,2.1
"3603704726",2015,"Genesee","Batavia town",3.3,3
"3603706057",2015,"Genesee","Bergen town",2.6,1.8
"3603706266",2015,"Genesee","Bethany town",6.4,3.3
"3603711572",2015,"Genesee","Byron town",4.8,3.5
"3603719719",2015,"Genesee","Darien town",6.3,3.7
"3603723756",2015,"Genesee","Elba town",8.4,4.8
"3603742037",2015,"Genesee","Le Roy town",5.6,3.5
"3603754166",2015,"Genesee","Oakfield town",6,2.5
"3603756792",2015,"Genesee","Pavilion town",2.5,2.6
"3603757078",2015,"Genesee","Pembroke town",14.4,6.3
"3603770607",2015,"Genesee","Stafford town",16.4,5.6
"3603775011",2015,"Genesee","Tonawanda Reservation",0.4,0.6
"3605103364",2015,"Livingston","Avon town",4.2,3.3
"3605111715",2015,"Livingston","Caledonia town",4.8,3.4
"3605117618",2015,"Livingston","Conesus town",27.2,5.8
"3605128629",2015,"Livingston","Geneseo town",10.8,4.7
"3605131016",2015,"Livingston","Groveland town",25.4,6.8
"3605141883",2015,"Livingston","Leicester town",5.1,2.4
"3605142334",2015,"Livingston","Lima town",6.2,3.7
"3605142961",2015,"Livingston","Livonia town",11.6,4.5
"3605148956",2015,"Livingston","Mount Morris town",14.2,5.3
"3605151869",2015,"Livingston","North Dansville town",10.5,4.5
"3605154089",2015,"Livingston","Nunda town",7.5,3.6
"3605155508",2015,"Livingston","Ossian town",24.8,7.8
"3605159179",2015,"Livingston","Portage town",16.7,7.2
"3605170101",2015,"Livingston","Sparta town",7.9,4.4
"3605170475",2015,"Livingston","Springwater town",21.7,5.3
"3605181006",2015,"Livingston","West Sparta town",18.3,6.6
"3605184022",2015,"Livingston","York town",4.2,3.1
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",5.1,1.5
"3605515462",2015,"Monroe","Chili town",3.2,1.5
"3605515957",2015,"Monroe","Clarkson town",6,4.5
"3605522870",2015,"Monroe","East Rochester town",6.3,2.7
"3605528442",2015,"Monroe","Gates town",3.7,1.2
"3605530290",2015,"Monroe","Greece town",6,0.9
"3605531797",2015,"Monroe","Hamlin town",9.7,3.1
"3605534099",2015,"Monroe","Henrietta town",5.1,1.5
"3605537726",2015,"Monroe","Irondequoit town",6.6,1.1
"3605546558",2015,"Monroe","Mendon town",3.5,2.2
"3605554474",2015,"Monroe","Ogden town",2.8,1.5
"3605556561",2015,"Monroe","Parma town",6.8,2.8
"3605557144",2015,"Monroe","Penfield town",4.8,1.3
"3605557221",2015,"Monroe","Perinton town",2.8,1
"3605558365",2015,"Monroe","Pittsford town",5.4,1.5
"3605561808",2015,"Monroe","Riga town",2.7,2
"3605563000",2015,"Monroe","Rochester city",12.3,0.6
"3605564144",2015,"Monroe","Rush town",2.7,3.3
"3605572455",2015,"Monroe","Sweden town",10.6,3.2
"3605578971",2015,"Monroe","Webster town",4.2,1.4
"3605581402",2015,"Monroe","Wheatland town",4.9,3.1
"3606908378",2015,"Ontario","Bristol town",15.7,6.4
"3606912100",2015,"Ontario","Canadice town",29.9,6.1
"3606912144",2015,"Ontario","Canandaigua city",9.7,2.5
"3606912155",2015,"Ontario","Canandaigua town",9.3,2.8
"3606921699",2015,"Ontario","East Bloomfield town",11.4,5.4
"3606925406",2015,"Ontario","Farmington town",3.5,2.6
"3606928640",2015,"Ontario","Geneva city",7.2,2
"3606928651",2015,"Ontario","Geneva town",7.1,3.7
"3606929531",2015,"Ontario","Gorham town",22.7,4
"3606935551",2015,"Ontario","Hopewell town",7.6,5.4
"3606944864",2015,"Ontario","Manchester town",6.1,2.1
"3606949440",2015,"Ontario","Naples town",16,4.3
"3606957529",2015,"Ontario","Phelps town",5.2,4
"3606961544",2015,"Ontario","Richmond town",33.1,6
"3606966289",2015,"Ontario","Seneca town",10.4,3.8
"3606968660",2015,"Ontario","South Bristol town",42.3,4.1
"3606977387",2015,"Ontario","Victor town",2.4,1.1
"3606979356",2015,"Ontario","West Bloomfield town",6.2,4
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2015,"Orleans","Albion town",13.5,5.5
"3607304572",2015,"Orleans","Barre town",7.4,3.7
"3607312496",2015,"Orleans","Carlton town",33.4,5.2
"3607315880",2015,"Orleans","Clarendon town",3.6,3.2
"3607327958",2015,"Orleans","Gaines town",7.8,6.7
"3607339188",2015,"Orleans","Kendall town",14,4.9
"3607349286",2015,"Orleans","Murray town",6.6,3.4
"3607361742",2015,"Orleans","Ridgeway town",9.2,2.8
"3607366751",2015,"Orleans","Shelby town",5.9,2.8
"3607383448",2015,"Orleans","Yates town",34.5,4.3
"3609918663",2015,"Seneca","Covert town",22.5,5.3
"3609925505",2015,"Seneca","Fayette town",20.2,4.4
"3609928640",2015,"Seneca","Geneva city",NA,NA
"3609938858",2015,"Seneca","Junius town",12.6,5.3
"3609943225",2015,"Seneca","Lodi town",31.6,4.4
"3609955827",2015,"Seneca","Ovid town",20.5,5.4
"3609963440",2015,"Seneca","Romulus town",26.1,5.9
"3609966333",2015,"Seneca","Seneca Falls town",10.9,2.9
"3609975902",2015,"Seneca","Tyre town",17.4,6.9
"3609976958",2015,"Seneca","Varick town",29.3,5.4
"3609978564",2015,"Seneca","Waterloo town",5.1,3.1
"3611700000",2015,"Wayne","County subdivisions not defined",NA,NA
