"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",7.7,0.8
"36051",2015,"Livingston","NA County",5.8,0.8
"36055",2015,"Monroe","NA County",6.1,0.3
"36069",2015,"Ontario","NA County",6.8,0.8
"36073",2015,"Orleans","NA County",8.5,1.2
"36099",2015,"Seneca","NA County",10.3,1.2
"36117",2015,"Wayne","NA County",8.3,0.7
"36123",2015,"Yates","NA County",20.2,1.9
"36037",2016,"Genesee","NA County",6.2,0.8
"36051",2016,"Livingston","NA County",5.2,0.6
"36055",2016,"Monroe","NA County",5.2,0.2
"36069",2016,"Ontario","NA County",5.8,0.6
"36073",2016,"Orleans","NA County",7.7,1.3
"36099",2016,"Seneca","NA County",9.7,1.4
"36117",2016,"Wayne","NA County",7,0.7
"36123",2016,"Yates","NA County",21.1,2.2
"36037",2017,"Genesee","NA County",5.1,0.8
"36051",2017,"Livingston","NA County",4.2,0.8
"36055",2017,"Monroe","NA County",4.5,0.2
"36069",2017,"Ontario","NA County",5,0.6
"36073",2017,"Orleans","NA County",6.4,1.1
"36099",2017,"Seneca","NA County",9.7,1.3
"36117",2017,"Wayne","NA County",5.9,0.7
"36123",2017,"Yates","NA County",19.6,1.9
"36037",2018,"Genesee","NA County",4.1,0.6
"36051",2018,"Livingston","NA County",3.3,0.8
"36055",2018,"Monroe","NA County",3.8,0.2
"36069",2018,"Ontario","NA County",4,0.4
"36073",2018,"Orleans","NA County",5.5,1
"36099",2018,"Seneca","NA County",9.6,1.5
"36117",2018,"Wayne","NA County",5,0.6
"36123",2018,"Yates","NA County",18.8,1.9
"36037",2019,"Genesee","NA County",3.5,0.5
"36051",2019,"Livingston","NA County",3.2,0.6
"36055",2019,"Monroe","NA County",3.3,0.2
"36069",2019,"Ontario","NA County",3.3,0.4
"36073",2019,"Orleans","NA County",5.1,1.1
"36099",2019,"Seneca","NA County",8.3,1.2
"36117",2019,"Wayne","NA County",4.2,0.7
"36123",2019,"Yates","NA County",17.6,2
"36037",2020,"Genesee","NA County",3.2,0.6
"36051",2020,"Livingston","NA County",3.1,0.6
"36055",2020,"Monroe","NA County",3.2,0.2
"36069",2020,"Ontario","NA County",3.3,0.4
"36073",2020,"Orleans","NA County",5,1.1
"36099",2020,"Seneca","NA County",8.4,1.4
"36117",2020,"Wayne","NA County",4.9,1
"36123",2020,"Yates","NA County",16.7,2.4
"36037",2021,"Genesee","NA County",3.2,0.5
"36051",2021,"Livingston","NA County",3.1,0.5
"36055",2021,"Monroe","NA County",3.2,0.2
"36069",2021,"Ontario","NA County",3.4,0.5
"36073",2021,"Orleans","NA County",4.7,0.9
"36099",2021,"Seneca","NA County",8.9,1.5
"36117",2021,"Wayne","NA County",5.2,1
"36123",2021,"Yates","NA County",17.3,2.1
"36037",2022,"Genesee","NA County",3.1,0.5
"36051",2022,"Livingston","NA County",3.4,0.6
"36055",2022,"Monroe","NA County",3.2,0.2
"36069",2022,"Ontario","NA County",3.3,0.5
"36073",2022,"Orleans","NA County",5.4,1
"36099",2022,"Seneca","NA County",8.6,1.5
"36117",2022,"Wayne","NA County",5.8,1
"36123",2022,"Yates","NA County",17.6,2.3
"36037",2023,"Genesee","NA County",3.8,0.6
"36051",2023,"Livingston","NA County",3.9,0.7
"36055",2023,"Monroe","NA County",3.1,0.2
"36069",2023,"Ontario","NA County",3.2,0.4
"36073",2023,"Orleans","NA County",5.7,1
"36099",2023,"Seneca","NA County",8.7,1.6
"36117",2023,"Wayne","NA County",5.7,0.9
"36123",2023,"Yates","NA County",19.6,2.2
"36037",2024,"Genesee","NA County",3.7,0.6
"36051",2024,"Livingston","NA County",3.9,0.8
"36055",2024,"Monroe","NA County",3.1,0.2
"36069",2024,"Ontario","NA County",3.3,0.5
"36073",2024,"Orleans","NA County",6.4,1.2
"36099",2024,"Seneca","NA County",9,1.5
"36117",2024,"Wayne","NA County",6.8,1.1
"36123",2024,"Yates","NA County",19.7,2.3
