"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",73,1.5
"36051",2015,"Livingston","NA County",72.7,1.4
"36055",2015,"Monroe","NA County",64.2,0.4
"36069",2015,"Ontario","NA County",72.8,1.2
"36073",2015,"Orleans","NA County",75.6,1.9
"36099",2015,"Seneca","NA County",72.3,2
"36117",2015,"Wayne","NA County",77.6,1.2
"36123",2015,"Yates","NA County",76.6,2.8
"36037",2016,"Genesee","NA County",73.3,1.1
"36051",2016,"Livingston","NA County",73.3,1.7
"36055",2016,"Monroe","NA County",63.8,0.4
"36069",2016,"Ontario","NA County",72.6,1.2
"36073",2016,"Orleans","NA County",75.5,2.1
"36099",2016,"Seneca","NA County",72.6,2.1
"36117",2016,"Wayne","NA County",76.7,1.1
"36123",2016,"Yates","NA County",77.1,2.8
"36037",2017,"Genesee","NA County",72.5,1.2
"36051",2017,"Livingston","NA County",73.2,1.5
"36055",2017,"Monroe","NA County",63.8,0.4
"36069",2017,"Ontario","NA County",73.2,1.1
"36073",2017,"Orleans","NA County",75,1.9
"36099",2017,"Seneca","NA County",73.2,2
"36117",2017,"Wayne","NA County",76.8,1.3
"36123",2017,"Yates","NA County",77.1,2.2
"36037",2018,"Genesee","NA County",72.6,1.3
"36051",2018,"Livingston","NA County",73.4,1.7
"36055",2018,"Monroe","NA County",63.8,0.5
"36069",2018,"Ontario","NA County",73.7,0.9
"36073",2018,"Orleans","NA County",75.6,2.1
"36099",2018,"Seneca","NA County",74,2
"36117",2018,"Wayne","NA County",75.9,1.1
"36123",2018,"Yates","NA County",79.2,2.5
"36037",2019,"Genesee","NA County",72.3,1.5
"36051",2019,"Livingston","NA County",74.7,1.6
"36055",2019,"Monroe","NA County",63.5,0.4
"36069",2019,"Ontario","NA County",73.8,1.1
"36073",2019,"Orleans","NA County",75.6,1.9
"36099",2019,"Seneca","NA County",73.9,2
"36117",2019,"Wayne","NA County",76.4,1.2
"36123",2019,"Yates","NA County",80,2
"36037",2020,"Genesee","NA County",72.4,1.8
"36051",2020,"Livingston","NA County",76.3,1.6
"36055",2020,"Monroe","NA County",63.3,0.5
"36069",2020,"Ontario","NA County",72.7,1.2
"36073",2020,"Orleans","NA County",75.1,2.3
"36099",2020,"Seneca","NA County",72.6,2.1
"36117",2020,"Wayne","NA County",78.1,1.2
"36123",2020,"Yates","NA County",76.5,2.6
"36037",2021,"Genesee","NA County",72.6,1.8
"36051",2021,"Livingston","NA County",76.3,1.5
"36055",2021,"Monroe","NA County",63.7,0.5
"36069",2021,"Ontario","NA County",73.3,1.2
"36073",2021,"Orleans","NA County",74.5,2.5
"36099",2021,"Seneca","NA County",73,2.1
"36117",2021,"Wayne","NA County",78.1,1.4
"36123",2021,"Yates","NA County",76.2,2.8
"36037",2022,"Genesee","NA County",73.4,1.9
"36051",2022,"Livingston","NA County",77,1.4
"36055",2022,"Monroe","NA County",63.7,0.6
"36069",2022,"Ontario","NA County",72.5,1.5
"36073",2022,"Orleans","NA County",76.2,2
"36099",2022,"Seneca","NA County",72.5,2.4
"36117",2022,"Wayne","NA County",79.8,1.4
"36123",2022,"Yates","NA County",77.3,2.8
"36037",2023,"Genesee","NA County",74.2,1.8
"36051",2023,"Livingston","NA County",77.1,1.4
"36055",2023,"Monroe","NA County",63.5,0.6
"36069",2023,"Ontario","NA County",72.8,1.4
"36073",2023,"Orleans","NA County",77.4,2.2
"36099",2023,"Seneca","NA County",72,2
"36117",2023,"Wayne","NA County",79.9,1.4
"36123",2023,"Yates","NA County",77.2,2.3
"36037",2024,"Genesee","NA County",73.8,1.8
"36051",2024,"Livingston","NA County",76.3,1.6
"36055",2024,"Monroe","NA County",63.7,0.6
"36069",2024,"Ontario","NA County",73.7,1.4
"36073",2024,"Orleans","NA County",77.2,2.2
"36099",2024,"Seneca","NA County",71,2.5
"36117",2024,"Wayne","NA County",79.9,1.2
"36123",2024,"Yates","NA County",77.2,2.6
