"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",82.7,3.9
"3603701165",2015,"Genesee","Alexander town",85.4,5.2
"3603704715",2015,"Genesee","Batavia city",53,3.1
"3603704726",2015,"Genesee","Batavia town",83.1,4.9
"3603706057",2015,"Genesee","Bergen town",73.5,6.4
"3603706266",2015,"Genesee","Bethany town",83,4.8
"3603711572",2015,"Genesee","Byron town",88,5.1
"3603719719",2015,"Genesee","Darien town",86.1,5
"3603723756",2015,"Genesee","Elba town",82.1,4.6
"3603742037",2015,"Genesee","Le Roy town",68.1,4.6
"3603754166",2015,"Genesee","Oakfield town",75.9,5.8
"3603756792",2015,"Genesee","Pavilion town",86.8,5.4
"3603757078",2015,"Genesee","Pembroke town",84,5.3
"3603770607",2015,"Genesee","Stafford town",85.1,5.7
"3603775011",2015,"Genesee","Tonawanda Reservation",84.8,5.7
"3605103364",2015,"Livingston","Avon town",74.6,5.2
"3605111715",2015,"Livingston","Caledonia town",78.3,4.9
"3605117618",2015,"Livingston","Conesus town",89.8,5.1
"3605128629",2015,"Livingston","Geneseo town",50.5,5.1
"3605131016",2015,"Livingston","Groveland town",73.3,6.7
"3605141883",2015,"Livingston","Leicester town",70.2,6.7
"3605142334",2015,"Livingston","Lima town",73.1,4.8
"3605142961",2015,"Livingston","Livonia town",79,6.1
"3605148956",2015,"Livingston","Mount Morris town",61.8,6.7
"3605151869",2015,"Livingston","North Dansville town",64.6,6
"3605154089",2015,"Livingston","Nunda town",74.2,5.9
"3605155508",2015,"Livingston","Ossian town",93.3,4.1
"3605159179",2015,"Livingston","Portage town",80.5,7.2
"3605170101",2015,"Livingston","Sparta town",95.3,2.7
"3605170475",2015,"Livingston","Springwater town",88.6,4.3
"3605181006",2015,"Livingston","West Sparta town",82.5,6.2
"3605184022",2015,"Livingston","York town",82.2,7.5
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",56.1,1.8
"3605515462",2015,"Monroe","Chili town",78,2.1
"3605515957",2015,"Monroe","Clarkson town",78.2,5.4
"3605522870",2015,"Monroe","East Rochester town",59.6,5.2
"3605528442",2015,"Monroe","Gates town",73.3,2.2
"3605530290",2015,"Monroe","Greece town",73.3,1.4
"3605531797",2015,"Monroe","Hamlin town",83.4,3.5
"3605534099",2015,"Monroe","Henrietta town",71,2.5
"3605537726",2015,"Monroe","Irondequoit town",78.3,1.6
"3605546558",2015,"Monroe","Mendon town",82.2,3.5
"3605554474",2015,"Monroe","Ogden town",78.9,2.4
"3605556561",2015,"Monroe","Parma town",80.4,3.4
"3605557144",2015,"Monroe","Penfield town",81.8,1.8
"3605557221",2015,"Monroe","Perinton town",77.9,1.6
"3605558365",2015,"Monroe","Pittsford town",86.5,1.7
"3605561808",2015,"Monroe","Riga town",91.7,2.6
"3605563000",2015,"Monroe","Rochester city",36.9,0.8
"3605564144",2015,"Monroe","Rush town",91.6,3.8
"3605572455",2015,"Monroe","Sweden town",58.2,3.7
"3605578971",2015,"Monroe","Webster town",77.9,1.8
"3605581402",2015,"Monroe","Wheatland town",66.5,5.2
"3606908378",2015,"Ontario","Bristol town",92.7,3.4
"3606912100",2015,"Ontario","Canadice town",83.8,5.7
"3606912144",2015,"Ontario","Canandaigua city",53.6,3.5
"3606912155",2015,"Ontario","Canandaigua town",69.2,3.9
"3606921699",2015,"Ontario","East Bloomfield town",80.8,4.8
"3606925406",2015,"Ontario","Farmington town",72.7,4.2
"3606928640",2015,"Ontario","Geneva city",50.1,3.2
"3606928651",2015,"Ontario","Geneva town",64.6,6.1
"3606929531",2015,"Ontario","Gorham town",87.5,4.2
"3606935551",2015,"Ontario","Hopewell town",90.3,4.3
"3606944864",2015,"Ontario","Manchester town",79.2,3
"3606949440",2015,"Ontario","Naples town",77,5.2
"3606957529",2015,"Ontario","Phelps town",77.8,5.6
"3606961544",2015,"Ontario","Richmond town",93.8,4.2
"3606966289",2015,"Ontario","Seneca town",83.3,4.6
"3606968660",2015,"Ontario","South Bristol town",89.4,4.4
"3606977387",2015,"Ontario","Victor town",78.3,4.1
"3606979356",2015,"Ontario","West Bloomfield town",86.2,5.4
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2015,"Orleans","Albion town",56.2,7.7
"3607304572",2015,"Orleans","Barre town",88.5,4.7
"3607312496",2015,"Orleans","Carlton town",91.4,6
"3607315880",2015,"Orleans","Clarendon town",88.3,5.5
"3607327958",2015,"Orleans","Gaines town",83.2,7.9
"3607339188",2015,"Orleans","Kendall town",80.9,5.7
"3607349286",2015,"Orleans","Murray town",73.7,4.2
"3607361742",2015,"Orleans","Ridgeway town",71.4,4.6
"3607366751",2015,"Orleans","Shelby town",68.8,5.3
"3607383448",2015,"Orleans","Yates town",89.2,3.8
"3609918663",2015,"Seneca","Covert town",81.6,4.7
