"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",20.5,3.3
"36051",2015,"Livingston","NA County",18.8,3.1
"36055",2015,"Monroe","NA County",23,1
"36069",2015,"Ontario","NA County",13.5,1.8
"36073",2015,"Orleans","NA County",21.9,3.6
"36099",2015,"Seneca","NA County",15.9,3.8
"36117",2015,"Wayne","NA County",18.5,2.6
"36123",2015,"Yates","NA County",21.5,5.3
"36037",2016,"Genesee","NA County",19.6,3
"36051",2016,"Livingston","NA County",19.4,3.2
"36055",2016,"Monroe","NA County",22.4,1
"36069",2016,"Ontario","NA County",13.3,2.1
"36073",2016,"Orleans","NA County",23.7,4.3
"36099",2016,"Seneca","NA County",15.3,3.7
"36117",2016,"Wayne","NA County",17,2.5
"36123",2016,"Yates","NA County",21.8,5.6
"36037",2017,"Genesee","NA County",20.1,3
"36051",2017,"Livingston","NA County",18.1,3
"36055",2017,"Monroe","NA County",22.3,0.9
"36069",2017,"Ontario","NA County",12.9,1.9
"36073",2017,"Orleans","NA County",24.9,4.3
"36099",2017,"Seneca","NA County",14.2,3.8
"36117",2017,"Wayne","NA County",16.9,2.4
"36123",2017,"Yates","NA County",18.9,5.3
"36037",2018,"Genesee","NA County",17.9,2.7
"36051",2018,"Livingston","NA County",16.2,3.3
"36055",2018,"Monroe","NA County",21.9,1.1
"36069",2018,"Ontario","NA County",13,2
"36073",2018,"Orleans","NA County",20,3.1
"36099",2018,"Seneca","NA County",15,3.4
"36117",2018,"Wayne","NA County",16.1,2.1
"36123",2018,"Yates","NA County",15.1,5.1
"36037",2019,"Genesee","NA County",15.8,2.8
"36051",2019,"Livingston","NA County",15.6,3.1
"36055",2019,"Monroe","NA County",21.2,1.1
"36069",2019,"Ontario","NA County",11.4,2.1
"36073",2019,"Orleans","NA County",19.9,3.7
"36099",2019,"Seneca","NA County",14.3,3.3
"36117",2019,"Wayne","NA County",17.3,2.8
"36123",2019,"Yates","NA County",18.3,5.7
"36037",2020,"Genesee","NA County",13.5,2.6
"36051",2020,"Livingston","NA County",17,3.7
"36055",2020,"Monroe","NA County",21.2,1.3
"36069",2020,"Ontario","NA County",11.5,2.5
"36073",2020,"Orleans","NA County",19.8,3.9
"36099",2020,"Seneca","NA County",12.3,3.7
"36117",2020,"Wayne","NA County",15.7,3
"36123",2020,"Yates","NA County",23.1,6.2
"36037",2021,"Genesee","NA County",11.1,2.6
"36051",2021,"Livingston","NA County",14.2,3.3
"36055",2021,"Monroe","NA County",20.2,1.3
"36069",2021,"Ontario","NA County",10.2,1.8
"36073",2021,"Orleans","NA County",19.4,3.7
"36099",2021,"Seneca","NA County",11,3.3
"36117",2021,"Wayne","NA County",14.5,2.8
"36123",2021,"Yates","NA County",22.2,5.3
"36037",2022,"Genesee","NA County",9.6,2.8
"36051",2022,"Livingston","NA County",15.4,4.1
"36055",2022,"Monroe","NA County",19.1,1.2
"36069",2022,"Ontario","NA County",11,2.2
"36073",2022,"Orleans","NA County",16.6,3.7
"36099",2022,"Seneca","NA County",15.8,4.3
"36117",2022,"Wayne","NA County",14,2.9
"36123",2022,"Yates","NA County",23,5.3
"36037",2023,"Genesee","NA County",10.2,3
"36051",2023,"Livingston","NA County",14.8,3.9
"36055",2023,"Monroe","NA County",18.7,1.4
"36069",2023,"Ontario","NA County",11.1,2.5
"36073",2023,"Orleans","NA County",16.6,4.5
"36099",2023,"Seneca","NA County",16.7,3.9
"36117",2023,"Wayne","NA County",13.5,3.3
"36123",2023,"Yates","NA County",23,4.1
"36037",2024,"Genesee","NA County",10.9,2.7
"36051",2024,"Livingston","NA County",11.2,3.2
"36055",2024,"Monroe","NA County",18.8,1.3
"36069",2024,"Ontario","NA County",11.6,2.5
"36073",2024,"Orleans","NA County",16.3,4.3
"36099",2024,"Seneca","NA County",17.6,4
"36117",2024,"Wayne","NA County",13,2.7
"36123",2024,"Yates","NA County",18.1,5.4
