"GEOID","year","County","Geography","estimate","moe"
"3603700474",2015,"Genesee","Alabama town",15.8,12.8
"3603701165",2015,"Genesee","Alexander town",11.1,8.9
"3603704715",2015,"Genesee","Batavia city",33,5.5
"3603704726",2015,"Genesee","Batavia town",18,16.1
"3603706057",2015,"Genesee","Bergen town",18.6,9.2
"3603706266",2015,"Genesee","Bethany town",8.5,9.7
"3603711572",2015,"Genesee","Byron town",29.3,18.9
"3603719719",2015,"Genesee","Darien town",20.9,15.4
"3603723756",2015,"Genesee","Elba town",4.8,4.5
"3603742037",2015,"Genesee","Le Roy town",9.7,5.3
"3603754166",2015,"Genesee","Oakfield town",14.9,9.6
"3603756792",2015,"Genesee","Pavilion town",23.2,15.5
"3603757078",2015,"Genesee","Pembroke town",27.1,19.8
"3603770607",2015,"Genesee","Stafford town",8.4,7.4
"3603775011",2015,"Genesee","Tonawanda Reservation",31.6,14.6
"3605103364",2015,"Livingston","Avon town",11,6
"3605111715",2015,"Livingston","Caledonia town",3.2,2
"3605117618",2015,"Livingston","Conesus town",22.6,9.8
"3605128629",2015,"Livingston","Geneseo town",21.2,10.4
"3605131016",2015,"Livingston","Groveland town",10.1,8.4
"3605141883",2015,"Livingston","Leicester town",16.5,15.3
"3605142334",2015,"Livingston","Lima town",17.2,8.2
"3605142961",2015,"Livingston","Livonia town",19.8,12.3
"3605148956",2015,"Livingston","Mount Morris town",28.7,12.8
"3605151869",2015,"Livingston","North Dansville town",35.1,14.6
"3605154089",2015,"Livingston","Nunda town",16.8,7.1
"3605155508",2015,"Livingston","Ossian town",12.4,10.6
"3605159179",2015,"Livingston","Portage town",19.5,13.1
"3605170101",2015,"Livingston","Sparta town",6.6,5.4
"3605170475",2015,"Livingston","Springwater town",21.2,13.4
"3605181006",2015,"Livingston","West Sparta town",56.5,19.2
"3605184022",2015,"Livingston","York town",7.6,11.3
"3605500000",2015,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2015,"Monroe","Brighton town",7.1,5.1
"3605515462",2015,"Monroe","Chili town",7.5,3.1
"3605515957",2015,"Monroe","Clarkson town",17.3,12.1
"3605522870",2015,"Monroe","East Rochester town",32.6,13.6
"3605528442",2015,"Monroe","Gates town",16.4,5.5
"3605530290",2015,"Monroe","Greece town",13.6,3.2
"3605531797",2015,"Monroe","Hamlin town",13.4,6.3
"3605534099",2015,"Monroe","Henrietta town",11.8,4.4
"3605537726",2015,"Monroe","Irondequoit town",12.5,4.1
"3605546558",2015,"Monroe","Mendon town",4.1,3.4
"3605554474",2015,"Monroe","Ogden town",4.7,2.8
"3605556561",2015,"Monroe","Parma town",11.4,7.3
"3605557144",2015,"Monroe","Penfield town",4,2.3
"3605557221",2015,"Monroe","Perinton town",7.8,3.3
"3605558365",2015,"Monroe","Pittsford town",2.7,1.2
"3605561808",2015,"Monroe","Riga town",15.8,9.8
"3605563000",2015,"Monroe","Rochester city",51.6,2.4
"3605564144",2015,"Monroe","Rush town",5.6,6.4
"3605572455",2015,"Monroe","Sweden town",7.7,4.5
"3605578971",2015,"Monroe","Webster town",10.4,3
"3605581402",2015,"Monroe","Wheatland town",20.9,12.6
"3606908378",2015,"Ontario","Bristol town",3.7,4.9
"3606912100",2015,"Ontario","Canadice town",20.8,21.4
"3606912144",2015,"Ontario","Canandaigua city",18.6,8
"3606912155",2015,"Ontario","Canandaigua town",11.1,6.6
"3606921699",2015,"Ontario","East Bloomfield town",12.5,8.9
"3606925406",2015,"Ontario","Farmington town",14.5,5.5
"3606928640",2015,"Ontario","Geneva city",33.3,8.6
"3606928651",2015,"Ontario","Geneva town",10.5,9.4
"3606929531",2015,"Ontario","Gorham town",13.1,15.3
"3606935551",2015,"Ontario","Hopewell town",11.8,8.6
"3606944864",2015,"Ontario","Manchester town",11.1,4.4
"3606949440",2015,"Ontario","Naples town",18.9,12.9
"3606957529",2015,"Ontario","Phelps town",14.6,7.6
"3606961544",2015,"Ontario","Richmond town",0,7.4
"3606966289",2015,"Ontario","Seneca town",9,7.9
"3606968660",2015,"Ontario","South Bristol town",25.3,19.8
"3606977387",2015,"Ontario","Victor town",1.4,1.6
"3606979356",2015,"Ontario","West Bloomfield town",12.7,8.9
"3607300000",2015,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2015,"Orleans","Albion town",33.3,15.5
"3607304572",2015,"Orleans","Barre town",20.6,12.1
"3607312496",2015,"Orleans","Carlton town",3.5,5
"3607315880",2015,"Orleans","Clarendon town",22.9,19
"3607327958",2015,"Orleans","Gaines town",14.2,12.5
"3607339188",2015,"Orleans","Kendall town",29.2,11.6
"3607349286",2015,"Orleans","Murray town",27.5,8.1
"3607361742",2015,"Orleans","Ridgeway town",12.9,5.1
"3607366751",2015,"Orleans","Shelby town",28.8,12.4
"3607383448",2015,"Orleans","Yates town",13.9,8.6
"3609918663",2015,"Seneca","Covert town",16.6,9.5
"3609925505",2015,"Seneca","Fayette town",8.3,6.3
"3609928640",2015,"Seneca","Geneva city",NA,NA
"3609938858",2015,"Seneca","Junius town",15.3,11.5
"3609943225",2015,"Seneca","Lodi town",9.2,5.1
"3609955827",2015,"Seneca","Ovid town",19.5,12.5
"3609963440",2015,"Seneca","Romulus town",7.6,5.7
"3609966333",2015,"Seneca","Seneca Falls town",11.5,4.8
"3609975902",2015,"Seneca","Tyre town",12.9,7.6
"3609976958",2015,"Seneca","Varick town",10.8,8.1
"3609978564",2015,"Seneca","Waterloo town",29.7,13.1
"3611700000",2015,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2015,"Wayne","Arcadia town",27.4,10.5
"3611711473",2015,"Wayne","Butler town",23,14.9
"3611728013",2015,"Wayne","Galen town",15.9,8.9
"3611737165",2015,"Wayne","Huron town",24.5,13
"3611743973",2015,"Wayne","Lyons town",41.6,16.4
"3611744160",2015,"Wayne","Macedon town",6.2,4.2
"3611745645",2015,"Wayne","Marion town",8.7,5.2
"3611755013",2015,"Wayne","Ontario town",8.6,8
"3611756198",2015,"Wayne","Palmyra town",26.4,10.3
"3611763605",2015,"Wayne","Rose town",18.2,9.6
"3611765343",2015,"Wayne","Savannah town",18.6,18.3
"3611768220",2015,"Wayne","Sodus town",35.2,11.5
"3611778102",2015,"Wayne","Walworth town",1.4,1.7
"3611782040",2015,"Wayne","Williamson town",24.7,15.3
"3611782689",2015,"Wayne","Wolcott town",22,9.3
"3612304594",2015,"Yates","Barrington town",17,11.7
"3612306002",2015,"Yates","Benton town",7.6,6.8
"3612338044",2015,"Yates","Italy town",22.9,12.5
"3612338583",2015,"Yates","Jerusalem town",22.1,22.2
"3612347020",2015,"Yates","Middlesex town",10.2,7.4
"3612347504",2015,"Yates","Milo town",27.9,13.1
"3612359597",2015,"Yates","Potter town",27.6,15.8
"3612370816",2015,"Yates","Starkey town",21.4,11.7
"3612375055",2015,"Yates","Torrey town",23.7,16.9
"3603700474",2016,"Genesee","Alabama town",13,12.1
"3603701165",2016,"Genesee","Alexander town",12.9,10.5
"3603704715",2016,"Genesee","Batavia city",29.2,6.7
"3603704726",2016,"Genesee","Batavia town",12.8,11.1
"3603706057",2016,"Genesee","Bergen town",14.1,10.2
"3603706266",2016,"Genesee","Bethany town",1.4,2.1
"3603711572",2016,"Genesee","Byron town",27.6,18.7
"3603719719",2016,"Genesee","Darien town",28.8,18.4
"3603723756",2016,"Genesee","Elba town",6.6,6.1
"3603742037",2016,"Genesee","Le Roy town",12.7,6.2
"3603754166",2016,"Genesee","Oakfield town",18.1,10
"3603756792",2016,"Genesee","Pavilion town",18,14.2
"3603757078",2016,"Genesee","Pembroke town",28.3,18.2
"3603770607",2016,"Genesee","Stafford town",6.7,9.9
"3603775011",2016,"Genesee","Tonawanda Reservation",32.1,18.9
"3605103364",2016,"Livingston","Avon town",13.1,7.3
"3605111715",2016,"Livingston","Caledonia town",3.2,3
"3605117618",2016,"Livingston","Conesus town",17.8,10.8
"3605128629",2016,"Livingston","Geneseo town",21,11.8
"3605131016",2016,"Livingston","Groveland town",9.1,7.2
"3605141883",2016,"Livingston","Leicester town",6.8,7
"3605142334",2016,"Livingston","Lima town",15.1,7.4
"3605142961",2016,"Livingston","Livonia town",17,11.7
"3605148956",2016,"Livingston","Mount Morris town",35.6,12.4
"3605151869",2016,"Livingston","North Dansville town",40.1,18
"3605154089",2016,"Livingston","Nunda town",18,8.3
"3605155508",2016,"Livingston","Ossian town",3.9,6.2
"3605159179",2016,"Livingston","Portage town",16.3,11
"3605170101",2016,"Livingston","Sparta town",8.2,6.8
"3605170475",2016,"Livingston","Springwater town",27.4,15.9
"3605181006",2016,"Livingston","West Sparta town",52.7,21.3
"3605184022",2016,"Livingston","York town",10.7,12
"3605500000",2016,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2016,"Monroe","Brighton town",11.1,5.6
"3605515462",2016,"Monroe","Chili town",6,2.4
"3605515957",2016,"Monroe","Clarkson town",12.8,10.7
"3605522870",2016,"Monroe","East Rochester town",27.8,12.3
"3605528442",2016,"Monroe","Gates town",12.1,4.2
"3605530290",2016,"Monroe","Greece town",11,2.6
"3605531797",2016,"Monroe","Hamlin town",13.8,6.3
"3605534099",2016,"Monroe","Henrietta town",14.4,4.4
"3605537726",2016,"Monroe","Irondequoit town",12.6,3.2
"3605546558",2016,"Monroe","Mendon town",6.5,5.3
"3605554474",2016,"Monroe","Ogden town",5.1,3
"3605556561",2016,"Monroe","Parma town",13.2,7
"3605557144",2016,"Monroe","Penfield town",7,3.6
"3605557221",2016,"Monroe","Perinton town",6.1,2.7
"3605558365",2016,"Monroe","Pittsford town",2.4,1.2
"3605561808",2016,"Monroe","Riga town",16.4,11.3
"3605563000",2016,"Monroe","Rochester city",50.5,2.4
"3605564144",2016,"Monroe","Rush town",7.7,10.6
"3605572455",2016,"Monroe","Sweden town",7.6,4.6
"3605578971",2016,"Monroe","Webster town",9.4,3.3
"3605581402",2016,"Monroe","Wheatland town",15.6,12.7
"3606908378",2016,"Ontario","Bristol town",3.3,4.2
"3606912100",2016,"Ontario","Canadice town",15,16.9
"3606912144",2016,"Ontario","Canandaigua city",22,8.6
"3606912155",2016,"Ontario","Canandaigua town",10.7,6.2
"3606921699",2016,"Ontario","East Bloomfield town",12,9.2
"3606925406",2016,"Ontario","Farmington town",12.7,6.5
"3606928640",2016,"Ontario","Geneva city",32.2,9.5
"3606928651",2016,"Ontario","Geneva town",27.8,20.7
"3606929531",2016,"Ontario","Gorham town",9.8,14.2
"3606935551",2016,"Ontario","Hopewell town",8.2,7.1
"3606944864",2016,"Ontario","Manchester town",10.4,4.4
"3606949440",2016,"Ontario","Naples town",20.1,13.2
"3606957529",2016,"Ontario","Phelps town",12.3,7.7
"3606961544",2016,"Ontario","Richmond town",0,7.3
"3606966289",2016,"Ontario","Seneca town",12.8,13
"3606968660",2016,"Ontario","South Bristol town",28.4,21.7
"3606977387",2016,"Ontario","Victor town",1.3,1.7
"3606979356",2016,"Ontario","West Bloomfield town",11.9,8
"3607300000",2016,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2016,"Orleans","Albion town",35.7,15.3
"3607304572",2016,"Orleans","Barre town",19.9,9
"3607312496",2016,"Orleans","Carlton town",28.7,16.5
"3607315880",2016,"Orleans","Clarendon town",25.8,18
"3607327958",2016,"Orleans","Gaines town",14,19.1
"3607339188",2016,"Orleans","Kendall town",26,13.7
"3607349286",2016,"Orleans","Murray town",27.9,9.5
"3607361742",2016,"Orleans","Ridgeway town",16.2,8.8
"3607366751",2016,"Orleans","Shelby town",23.3,9.9
"3607383448",2016,"Orleans","Yates town",16.6,8.1
"3609918663",2016,"Seneca","Covert town",19.4,9.8
"3609925505",2016,"Seneca","Fayette town",10.4,6.6
"3609928640",2016,"Seneca","Geneva city",NA,NA
"3609938858",2016,"Seneca","Junius town",15.7,11.3
"3609943225",2016,"Seneca","Lodi town",11.8,8
"3609955827",2016,"Seneca","Ovid town",18,11.1
"3609963440",2016,"Seneca","Romulus town",4.9,3.9
"3609966333",2016,"Seneca","Seneca Falls town",11.1,6
"3609975902",2016,"Seneca","Tyre town",15.6,9.9
"3609976958",2016,"Seneca","Varick town",11.3,8.8
"3609978564",2016,"Seneca","Waterloo town",25,13.5
"3611700000",2016,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2016,"Wayne","Arcadia town",31.6,9.5
"3611711473",2016,"Wayne","Butler town",20.3,12.6
"3611728013",2016,"Wayne","Galen town",13,7.2
"3611737165",2016,"Wayne","Huron town",18.1,11.7
"3611743973",2016,"Wayne","Lyons town",31,16.5
"3611744160",2016,"Wayne","Macedon town",4.5,3.4
"3611745645",2016,"Wayne","Marion town",6.2,4.6
"3611755013",2016,"Wayne","Ontario town",3,4
"3611756198",2016,"Wayne","Palmyra town",29.4,10.7
"3611763605",2016,"Wayne","Rose town",18.7,10.2
"3611765343",2016,"Wayne","Savannah town",19.1,18
"3611768220",2016,"Wayne","Sodus town",40.3,11.5
"3611778102",2016,"Wayne","Walworth town",1.5,1.9
"3611782040",2016,"Wayne","Williamson town",14.3,8.9
"3611782689",2016,"Wayne","Wolcott town",19.5,7.6
"3612304594",2016,"Yates","Barrington town",15.5,10.6
"3612306002",2016,"Yates","Benton town",7.2,6.2
"3612338044",2016,"Yates","Italy town",27,14.3
"3612338583",2016,"Yates","Jerusalem town",23.7,20.1
"3612347020",2016,"Yates","Middlesex town",11.6,7
"3612347504",2016,"Yates","Milo town",28,14.5
"3612359597",2016,"Yates","Potter town",25.2,14.9
"3612370816",2016,"Yates","Starkey town",22.2,10.7
"3612375055",2016,"Yates","Torrey town",20.3,12.6
"3603700474",2017,"Genesee","Alabama town",13.3,12.6
"3603701165",2017,"Genesee","Alexander town",18.6,11
"3603704715",2017,"Genesee","Batavia city",30.1,7.5
"3603704726",2017,"Genesee","Batavia town",14.5,11.1
"3603706057",2017,"Genesee","Bergen town",12.9,7.9
"3603706266",2017,"Genesee","Bethany town",1.1,2
"3603711572",2017,"Genesee","Byron town",25.2,19.2
"3603719719",2017,"Genesee","Darien town",24.4,16.8
"3603723756",2017,"Genesee","Elba town",7.2,6.2
"3603742037",2017,"Genesee","Le Roy town",13.3,6.1
"3603754166",2017,"Genesee","Oakfield town",16.7,9.3
"3603756792",2017,"Genesee","Pavilion town",1.7,2.5
"3603757078",2017,"Genesee","Pembroke town",34.1,17.6
"3603770607",2017,"Genesee","Stafford town",13.9,13.6
"3603775011",2017,"Genesee","Tonawanda Reservation",55.3,25.1
"3605103364",2017,"Livingston","Avon town",10.4,6.5
"3605111715",2017,"Livingston","Caledonia town",3,2.8
"3605117618",2017,"Livingston","Conesus town",13.2,10.5
"3605128629",2017,"Livingston","Geneseo town",16.5,10.6
"3605131016",2017,"Livingston","Groveland town",10.3,10.1
"3605141883",2017,"Livingston","Leicester town",5.7,5.6
"3605142334",2017,"Livingston","Lima town",15,7.5
"3605142961",2017,"Livingston","Livonia town",14.6,12.4
"3605148956",2017,"Livingston","Mount Morris town",36,14.5
"3605151869",2017,"Livingston","North Dansville town",44.1,17.7
"3605154089",2017,"Livingston","Nunda town",25.3,14
"3605155508",2017,"Livingston","Ossian town",2,4.2
"3605159179",2017,"Livingston","Portage town",15.8,10.7
"3605170101",2017,"Livingston","Sparta town",9.1,8.9
"3605170475",2017,"Livingston","Springwater town",19.2,13.2
"3605181006",2017,"Livingston","West Sparta town",41.7,20.5
"3605184022",2017,"Livingston","York town",7.6,9.7
"3605500000",2017,"Monroe","County subdivisions not defined",NA,NA
"3605508246",2017,"Monroe","Brighton town",10.4,5
"3605515462",2017,"Monroe","Chili town",4.3,2
"3605515957",2017,"Monroe","Clarkson town",11.2,9.9
"3605522870",2017,"Monroe","East Rochester town",24,13.9
"3605528442",2017,"Monroe","Gates town",8.8,3.5
"3605530290",2017,"Monroe","Greece town",11.9,2.8
"3605531797",2017,"Monroe","Hamlin town",12,6.4
"3605534099",2017,"Monroe","Henrietta town",13.1,3.6
"3605537726",2017,"Monroe","Irondequoit town",12.7,3.8
"3605546558",2017,"Monroe","Mendon town",11.4,6.7
"3605554474",2017,"Monroe","Ogden town",10.6,9.6
"3605556561",2017,"Monroe","Parma town",12.4,6.8
"3605557144",2017,"Monroe","Penfield town",5.4,2.4
"3605557221",2017,"Monroe","Perinton town",5.2,2.4
"3605558365",2017,"Monroe","Pittsford town",2.2,1.2
"3605561808",2017,"Monroe","Riga town",13.6,9.4
"3605563000",2017,"Monroe","Rochester city",51.9,2.3
"3605564144",2017,"Monroe","Rush town",5.7,7
"3605572455",2017,"Monroe","Sweden town",8.7,4.3
"3605578971",2017,"Monroe","Webster town",5,2.5
"3605581402",2017,"Monroe","Wheatland town",26.3,13.5
"3606908378",2017,"Ontario","Bristol town",7.6,7.4
"3606912100",2017,"Ontario","Canadice town",14.9,19.3
"3606912144",2017,"Ontario","Canandaigua city",20.7,8.4
"3606912155",2017,"Ontario","Canandaigua town",6.6,4.3
"3606921699",2017,"Ontario","East Bloomfield town",13.4,8.1
"3606925406",2017,"Ontario","Farmington town",8.4,4.1
"3606928640",2017,"Ontario","Geneva city",30.9,8.7
"3606928651",2017,"Ontario","Geneva town",26.7,15.6
"3606929531",2017,"Ontario","Gorham town",20.6,19.8
"3606935551",2017,"Ontario","Hopewell town",18.5,14.1
"3606944864",2017,"Ontario","Manchester town",14.3,10.5
"3606949440",2017,"Ontario","Naples town",15.2,11.5
"3606957529",2017,"Ontario","Phelps town",9.6,6.8
"3606961544",2017,"Ontario","Richmond town",0,5.7
"3606966289",2017,"Ontario","Seneca town",13.8,15.1
"3606968660",2017,"Ontario","South Bristol town",29.2,22
"3606977387",2017,"Ontario","Victor town",1.2,1.8
"3606979356",2017,"Ontario","West Bloomfield town",9,7.5
"3607300000",2017,"Orleans","County subdivisions not defined",NA,NA
"3607301044",2017,"Orleans","Albion town",32.7,13
"3607304572",2017,"Orleans","Barre town",12.9,8.3
"3607312496",2017,"Orleans","Carlton town",46,24.8
"3607315880",2017,"Orleans","Clarendon town",23.1,15.9
"3607327958",2017,"Orleans","Gaines town",10.6,11
"3607339188",2017,"Orleans","Kendall town",21,13.7
"3607349286",2017,"Orleans","Murray town",31,11
"3607361742",2017,"Orleans","Ridgeway town",19.5,10.1
"3607366751",2017,"Orleans","Shelby town",25.2,9.1
"3607383448",2017,"Orleans","Yates town",20.6,11
"3609918663",2017,"Seneca","Covert town",12.4,8.4
"3609925505",2017,"Seneca","Fayette town",12.1,8
"3609928640",2017,"Seneca","Geneva city",NA,NA
"3609938858",2017,"Seneca","Junius town",10,5.6
"3609943225",2017,"Seneca","Lodi town",11.3,5.9
"3609955827",2017,"Seneca","Ovid town",17.2,10.5
"3609963440",2017,"Seneca","Romulus town",5,3.8
"3609966333",2017,"Seneca","Seneca Falls town",11.3,7.5
"3609975902",2017,"Seneca","Tyre town",10.9,8.3
"3609976958",2017,"Seneca","Varick town",13.1,10.3
"3609978564",2017,"Seneca","Waterloo town",23.5,12.2
"3611700000",2017,"Wayne","County subdivisions not defined",NA,NA
"3611702440",2017,"Wayne","Arcadia town",27.4,10.4
"3611711473",2017,"Wayne","Butler town",26.6,13.6
"3611728013",2017,"Wayne","Galen town",13,7.6
"3611737165",2017,"Wayne","Huron town",19.1,13
"3611743973",2017,"Wayne","Lyons town",29.7,13.1
