"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36099",2017,"Seneca","NA County","B03002_003","White (Non-Hispanic)",89.3493671612662,0.0200901185316993
"36099",2017,"Seneca","NA County","B03002_004","Black (Non-Hispanic)",4.63507734695635,0.358752116637488
"36099",2017,"Seneca","NA County","B03002_012","Hispanic or Latino (Any Race)",3.26894928680079,0
"36099",2017,"Seneca","NA County","B03002_006","Asian (Non-Hispanic)",0.720374250208076,0.114800677323996
"36099",2017,"Seneca","NA County","B03002_005","Native American (Non-Hispanic)",0.31283184570789,0.137760812788795
"36099",2017,"Seneca","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.00861005079929972,0.0172201015985994
"36099",2017,"Seneca","NA County","B03002_008","Other (Non-Hispanic)",0.0229601354647992,0.0401802370633987
"36099",2017,"Seneca","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.68182992279654,0.416152455299486
"36069",2017,"Ontario","NA County","B03002_003","White (Non-Hispanic)",90.2813929912048,0.107771415002146
"36069",2017,"Ontario","NA County","B03002_004","Black (Non-Hispanic)",2.26502634919765,0.197276488478505
"36069",2017,"Ontario","NA County","B03002_012","Hispanic or Latino (Any Race)",4.4359810395375,0
"36069",2017,"Ontario","NA County","B03002_006","Asian (Non-Hispanic)",1.30330346786494,0.143390780977432
"36069",2017,"Ontario","NA County","B03002_005","Native American (Non-Hispanic)",0.209149610470267,0.065758829492835
"36069",2017,"Ontario","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.118731219917619,0.115991268688751
"36069",2017,"Ontario","NA County","B03002_008","Other (Non-Hispanic)",0.150697317587747,0.10229151254441
"36069",2017,"Ontario","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.23571800421953,0.230155903224923
"36073",2017,"Orleans","NA County","B03002_003","White (Non-Hispanic)",86.5260677183532,0.067333589842247
"36073",2017,"Orleans","NA County","B03002_004","Black (Non-Hispanic)",5.86283185840708,0.483358984224702
"36073",2017,"Orleans","NA County","B03002_012","Hispanic or Latino (Any Race)",4.73980377068103,0
"36073",2017,"Orleans","NA County","B03002_006","Asian (Non-Hispanic)",0.654097729896114,0.0841669873028088
"36073",2017,"Orleans","NA County","B03002_005","Native American (Non-Hispanic)",0.379953828395537,0.165929203539823
"36073",2017,"Orleans","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0577145055790689,0.0841669873028088
"36073",2017,"Orleans","NA County","B03002_008","Other (Non-Hispanic)",0.0577145055790689,0.067333589842247
"36073",2017,"Orleans","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.72181608310889,0.507406694882647
"36055",2017,"Monroe","NA County","B03002_003","White (Non-Hispanic)",70.9691724101085,0.0589036704600096
"36055",2017,"Monroe","NA County","B03002_004","Black (Non-Hispanic)",14.4694662606187,0.151199444355399
"36055",2017,"Monroe","NA County","B03002_012","Hispanic or Latino (Any Race)",8.34709087994871,0
"36055",2017,"Monroe","NA County","B03002_006","Asian (Non-Hispanic)",3.64428060052359,0.086819468931987
"36055",2017,"Monroe","NA County","B03002_005","Native American (Non-Hispanic)",0.158278570283699,0.0264465459208206
"36055",2017,"Monroe","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0188331463375541,0.00694555751455896
"36055",2017,"Monroe","NA County","B03002_008","Other (Non-Hispanic)",0.193674199925202,0.0709248276967463
"36055",2017,"Monroe","NA County","B03002_009","Two or More Races (Non-Hispanic)",2.1992039322541,0.183790137308329
"36051",2017,"Livingston","NA County","B03002_003","White (Non-Hispanic)",90.9511751821416,0.0388361580165597
"36051",2017,"Livingston","NA County","B03002_004","Black (Non-Hispanic)",2.46842620353254,0.229910055458034
"36051",2017,"Livingston","NA County","B03002_012","Hispanic or Latino (Any Race)",3.43622326130521,0
"36051",2017,"Livingston","NA County","B03002_006","Asian (Non-Hispanic)",1.3794603327482,0.189520451120812
"36051",2017,"Livingston","NA County","B03002_005","Native American (Non-Hispanic)",0.14291706150094,0.091653332919081
"36051",2017,"Livingston","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0233016948099358,0.0310689264132478
"36051",2017,"Livingston","NA County","B03002_008","Other (Non-Hispanic)",0.108741242446367,0.107187796125705
"36051",2017,"Livingston","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.48975502151523,0.288941015643204
"36117",2017,"Wayne","NA County","B03002_003","White (Non-Hispanic)",90.2462763281643,0.0535858795739376
"36117",2017,"Wayne","NA County","B03002_004","Black (Non-Hispanic)",2.92097723146913,0.207781982021391
"36117",2017,"Wayne","NA County","B03002_012","Hispanic or Latino (Any Race)",4.21141269875987,0
"36117",2017,"Wayne","NA County","B03002_006","Asian (Non-Hispanic)",0.66927669998469,0.122482010454714
"36117",2017,"Wayne","NA County","B03002_005","Native American (Non-Hispanic)",0.145447387414973,0.0623345946064172
"36117",2017,"Wayne","NA County","B03002_007","Pacific Islander (Non-Hispanic)",0.0721768990179567,0.0754576671551366
"36117",2017,"Wayne","NA County","B03002_008","Other (Non-Hispanic)",0.0393692176461582,0.0317140919927386
"36117",2017,"Wayne","NA County","B03002_009","Two or More Races (Non-Hispanic)",1.69506353754292,0.250431967804729
"36037",2017,"Genesee","NA County","B03002_003","White (Non-Hispanic)",90.7460238823308,0.0700411705417087
"36037",2017,"Genesee","NA County","B03002_004","Black (Non-Hispanic)",2.3608999436254,0.297247894494081
