"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"3605534099",2017,"Monroe","Henrietta town","B03002_003","White (Non-Hispanic)",74.5190213029421,1.84967606365734
"3605534099",2017,"Monroe","Henrietta town","B03002_004","Black (Non-Hispanic)",8.90641839987159,1.38272566922557
"3605534099",2017,"Monroe","Henrietta town","B03002_012","Hispanic or Latino (Any Race)",3.95101928500997,0.926409447699815
"3605534099",2017,"Monroe","Henrietta town","B03002_006","Asian (Non-Hispanic)",8.86514251645302,1.18322297411393
"3605534099",2017,"Monroe","Henrietta town","B03002_005","Native American (Non-Hispanic)",0.270586346855007,0.256827637425255
"3605534099",2017,"Monroe","Henrietta town","B03002_007","Pacific Islander (Non-Hispanic)",0.0665000343965695,0.0848448565482217
"3605534099",2017,"Monroe","Henrietta town","B03002_008","Other (Non-Hispanic)",0.798000412758834,0.669586280935939
"3605534099",2017,"Monroe","Henrietta town","B03002_009","Two or More Races (Non-Hispanic)",2.62331170171295,1.00437786808266
"3605558365",2017,"Monroe","Pittsford town","B03002_003","White (Non-Hispanic)",86.1151591147863,1.41353123519295
"3605558365",2017,"Monroe","Pittsford town","B03002_004","Black (Non-Hispanic)",1.15226895312977,0.399903154849741
"3605558365",2017,"Monroe","Pittsford town","B03002_012","Hispanic or Latino (Any Race)",2.40620869624157,0.728635988767768
"3605558365",2017,"Monroe","Pittsford town","B03002_006","Asian (Non-Hispanic)",8.72674280679161,1.00988550237249
"3605558365",2017,"Monroe","Pittsford town","B03002_005","Native American (Non-Hispanic)",0,0.0711695529874267
"3605558365",2017,"Monroe","Pittsford town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.0711695529874267
"3605558365",2017,"Monroe","Pittsford town","B03002_008","Other (Non-Hispanic)",0.108448842647507,0.128782946939345
"3605558365",2017,"Monroe","Pittsford town","B03002_009","Two or More Races (Non-Hispanic)",1.49117158640323,0.572743167188026
"3605561808",2017,"Monroe","Riga town","B03002_003","White (Non-Hispanic)",94.771474301974,2.87914295532666
"3605561808",2017,"Monroe","Riga town","B03002_004","Black (Non-Hispanic)",1.01369375778054,1.3160185359505
"3605561808",2017,"Monroe","Riga town","B03002_012","Hispanic or Latino (Any Race)",2.68539925306776,1.9206591597548
"3605561808",2017,"Monroe","Riga town","B03002_006","Asian (Non-Hispanic)",0.248977414191713,0.391249220089047
"3605561808",2017,"Monroe","Riga town","B03002_005","Native American (Non-Hispanic)",0,0.2845456162191
"3605561808",2017,"Monroe","Riga town","B03002_007","Pacific Islander (Non-Hispanic)",0,0.2845456162191
"3605561808",2017,"Monroe","Riga town","B03002_008","Other (Non-Hispanic)",0,0.2845456162191
"3605561808",2017,"Monroe","Riga town","B03002_009","Two or More Races (Non-Hispanic)",1.28045527298595,0.995899243068785
"3605581402",2017,"Monroe","Wheatland town","B03002_003","White (Non-Hispanic)",89.5833333333333,5.26091862996594
