"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"36037",2017,"Not Burdened","Not Burdened",49.3315101792768,5.032743674242,"Genesee","NA County","New York"
"36037",2017,"Not Computed","Not Computed",10.3160133697964,2.08143421452446,"Genesee","NA County","New York"
"36037",2017,"Rent Burdened","Rent Burdened",19.0367669401398,3.26570694500667,"Genesee","NA County","New York"
"36037",2017,"Severely Rent Burdened","Severely Rent Burdened",21.315709510787,3.34244910361592,"Genesee","NA County","New York"
"36037",2018,"Not Burdened","Not Burdened",50.4320987654321,5.6471993738645,"Genesee","NA County","New York"
"36037",2018,"Not Computed","Not Computed",11.1574074074074,2.23765432098765,"Genesee","NA County","New York"
"36037",2018,"Rent Burdened","Rent Burdened",17.3148148148148,3.18727949379392,"Genesee","NA County","New York"
"36037",2018,"Severely Rent Burdened","Severely Rent Burdened",21.0956790123457,3.48765432098765,"Genesee","NA County","New York"
"36037",2019,"Not Burdened","Not Burdened",51.4792899408284,5.31490791816377,"Genesee","NA County","New York"
"36037",2019,"Not Computed","Not Computed",10.7419208010924,2.23031406463359,"Genesee","NA County","New York"
"36037",2019,"Rent Burdened","Rent Burdened",17.8425125170687,3.04054158393907,"Genesee","NA County","New York"
"36037",2019,"Severely Rent Burdened","Severely Rent Burdened",19.9362767410105,3.32271279016841,"Genesee","NA County","New York"
"36037",2020,"Not Burdened","Not Burdened",52.5700584444777,6.54184793505958,"Genesee","NA County","New York"
"36037",2020,"Not Computed","Not Computed",8.33208451970628,1.72336280533493,"Genesee","NA County","New York"
"36037",2020,"Rent Burdened","Rent Burdened",18.3725460812228,3.52815289158982,"Genesee","NA County","New York"
"36037",2020,"Severely Rent Burdened","Severely Rent Burdened",20.7253109545931,3.70148359058894,"Genesee","NA County","New York"
"36037",2021,"Not Burdened","Not Burdened",52.8262490678598,6.69986578715042,"Genesee","NA County","New York"
"36037",2021,"Not Computed","Not Computed",7.71066368381805,2.16256524981357,"Genesee","NA County","New York"
"36037",2021,"Rent Burdened","Rent Burdened",19.537658463833,3.94450011341303,"Genesee","NA County","New York"
"36037",2021,"Severely Rent Burdened","Severely Rent Burdened",19.9254287844892,3.92244593586875,"Genesee","NA County","New York"
"36037",2022,"Not Burdened","Not Burdened",50.8850238571648,6.5333089140528,"Genesee","NA County","New York"
"36037",2022,"Not Computed","Not Computed",6.83392334923811,1.93935662613514,"Genesee","NA County","New York"
"36037",2022,"Rent Burdened","Rent Burdened",21.7792827458827,4.51043033724173,"Genesee","NA County","New York"
"36037",2022,"Severely Rent Burdened","Severely Rent Burdened",20.5017700477143,4.07880560258581,"Genesee","NA County","New York"
"36037",2023,"Not Burdened","Not Burdened",51.5028177833438,6.4956883940526,"Genesee","NA County","New York"
"36037",2023,"Not Computed","Not Computed",6.95053224796493,2.14464621164684,"Genesee","NA County","New York"
"36037",2023,"Rent Burdened","Rent Burdened",22.3700688791484,4.65358359746078,"Genesee","NA County","New York"
"36037",2023,"Severely Rent Burdened","Severely Rent Burdened",19.1765810895429,3.58484658735128,"Genesee","NA County","New York"
"36037",2024,"Not Burdened","Not Burdened",51.3952775222324,6.52019299380187,"Genesee","NA County","New York"
"36037",2024,"Not Computed","Not Computed",6.65440049064704,1.99325360318921,"Genesee","NA County","New York"
"36037",2024,"Rent Burdened","Rent Burdened",21.6804661146887,4.05633766089706,"Genesee","NA County","New York"
"36037",2024,"Severely Rent Burdened","Severely Rent Burdened",20.2698558724318,4.50781968721251,"Genesee","NA County","New York"
"36051",2017,"Not Burdened","Not Burdened",40.3422982885086,5.49897230535072,"Livingston","NA County","New York"
"36051",2017,"Not Computed","Not Computed",6.40281173594132,1.9559902200489,"Livingston","NA County","New York"
"36051",2017,"Rent Burdened","Rent Burdened",24.4345965770171,4.27537088824917,"Livingston","NA County","New York"
"36051",2017,"Severely Rent Burdened","Severely Rent Burdened",28.820293398533,5.14975550122249,"Livingston","NA County","New York"
"36051",2018,"Not Burdened","Not Burdened",39.891975308642,5.97469403659894,"Livingston","NA County","New York"
"36051",2018,"Not Computed","Not Computed",6.04938271604938,1.91358024691358,"Livingston","NA County","New York"
"36051",2018,"Rent Burdened","Rent Burdened",23.1481481481481,4.35704750699422,"Livingston","NA County","New York"
"36051",2018,"Severely Rent Burdened","Severely Rent Burdened",30.9104938271605,5.01543209876543,"Livingston","NA County","New York"
"36051",2019,"Not Burdened","Not Burdened",42.6821300228683,6.06052933004545,"Livingston","NA County","New York"
"36051",2019,"Not Computed","Not Computed",6.33779810519438,1.68245671349232,"Livingston","NA County","New York"
"36051",2019,"Rent Burdened","Rent Burdened",22.4273113361647,4.10819142602392,"Livingston","NA County","New York"
"36051",2019,"Severely Rent Burdened","Severely Rent Burdened",28.5527605357726,4.4593270173146,"Livingston","NA County","New York"
"36051",2020,"Not Burdened","Not Burdened",43.5059349733356,6.56990135855464,"Livingston","NA County","New York"
"36051",2020,"Not Computed","Not Computed",5.28126612764493,1.7374849475314,"Livingston","NA County","New York"
"36051",2020,"Rent Burdened","Rent Burdened",22.9141579218992,4.64479359789268,"Livingston","NA County","New York"
"36051",2020,"Severely Rent Burdened","Severely Rent Burdened",28.2986409771203,4.90280405986582,"Livingston","NA County","New York"
"36051",2021,"Not Burdened","Not Burdened",44.7470133520731,6.54801522022621,"Livingston","NA County","New York"
"36051",2021,"Not Computed","Not Computed",5.04216444132115,1.56359803232607,"Livingston","NA County","New York"
"36051",2021,"Rent Burdened","Rent Burdened",24.402670414617,4.75237321032216,"Livingston","NA County","New York"
"36051",2021,"Severely Rent Burdened","Severely Rent Burdened",25.8081517919888,4.55024595924104,"Livingston","NA County","New York"
"36051",2022,"Not Burdened","Not Burdened",43.2941176470588,5.82735163409785,"Livingston","NA County","New York"
"36051",2022,"Not Computed","Not Computed",7.92760180995475,2.55203619909502,"Livingston","NA County","New York"
"36051",2022,"Rent Burdened","Rent Burdened",23.8914027149321,4.58486940004741,"Livingston","NA County","New York"
"36051",2022,"Severely Rent Burdened","Severely Rent Burdened",24.8868778280543,3.98190045248869,"Livingston","NA County","New York"
"36051",2023,"Not Burdened","Not Burdened",42.7468581687612,5.72632154099304,"Livingston","NA County","New York"
"36051",2023,"Not Computed","Not Computed",9.46140035906643,2.33393177737881,"Livingston","NA County","New York"
"36051",2023,"Rent Burdened","Rent Burdened",24.7576301615799,4.30168473432893,"Livingston","NA County","New York"
"36051",2023,"Severely Rent Burdened","Severely Rent Burdened",23.0341113105925,4.25493716337522,"Livingston","NA County","New York"
"36051",2024,"Not Burdened","Not Burdened",38.9531870789428,4.94809910669156,"Livingston","NA County","New York"
"36051",2024,"Not Computed","Not Computed",10.6926930385213,2.91932976334427,"Livingston","NA County","New York"
