"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"3603700474",2017,"Not Burdened","Not Burdened",51.2605042016807,23.937899966117,"Genesee","Alabama town","New York"
"3603700474",2017,"Not Computed","Not Computed",23.5294117647059,12.3860282588895,"Genesee","Alabama town","New York"
"3603700474",2017,"Rent Burdened","Rent Burdened",12.6050420168067,8.5865838124097,"Genesee","Alabama town","New York"
"3603700474",2017,"Severely Rent Burdened","Severely Rent Burdened",12.6050420168067,8.42049655852084,"Genesee","Alabama town","New York"
"3603700474",2018,"Not Burdened","Not Burdened",53.968253968254,24.176906504447,"Genesee","Alabama town","New York"
"3603700474",2018,"Not Computed","Not Computed",22.2222222222222,13.3273714543493,"Genesee","Alabama town","New York"
"3603700474",2018,"Rent Burdened","Rent Burdened",14.2857142857143,7.98977910541853,"Genesee","Alabama town","New York"
"3603700474",2018,"Severely Rent Burdened","Severely Rent Burdened",9.52380952380952,6.4714194389227,"Genesee","Alabama town","New York"
"3603700474",2019,"Not Burdened","Not Burdened",59.375,23.7493369361273,"Genesee","Alabama town","New York"
"3603700474",2019,"Not Computed","Not Computed",19.53125,13.1601181120304,"Genesee","Alabama town","New York"
"3603700474",2019,"Rent Burdened","Rent Burdened",12.5,12.1624184773331,"Genesee","Alabama town","New York"
"3603700474",2019,"Severely Rent Burdened","Severely Rent Burdened",8.59375,8.87483703772603,"Genesee","Alabama town","New York"
"3603700474",2020,"Not Burdened","Not Burdened",61.9047619047619,26.4216374539159,"Genesee","Alabama town","New York"
"3603700474",2020,"Not Computed","Not Computed",20.4081632653061,14.5035322439729,"Genesee","Alabama town","New York"
"3603700474",2020,"Rent Burdened","Rent Burdened",10.8843537414966,9.84526483492511,"Genesee","Alabama town","New York"
"3603700474",2020,"Severely Rent Burdened","Severely Rent Burdened",6.80272108843537,6.32710196590634,"Genesee","Alabama town","New York"
"3603700474",2021,"Not Burdened","Not Burdened",57.8571428571429,22.2967939864487,"Genesee","Alabama town","New York"
"3603700474",2021,"Not Computed","Not Computed",20,13.8689198849626,"Genesee","Alabama town","New York"
"3603700474",2021,"Rent Burdened","Rent Burdened",15,11.9948968741048,"Genesee","Alabama town","New York"
"3603700474",2021,"Severely Rent Burdened","Severely Rent Burdened",7.14285714285714,5.33742727780491,"Genesee","Alabama town","New York"
"3603700474",2022,"Not Burdened","Not Burdened",71.969696969697,20.9437167534849,"Genesee","Alabama town","New York"
