"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"36037",2017,"B17001B_SnrPov","Black (Non-Hispanic)",90,129.657668925178,"Genesee","NA County","New York"
"36037",2017,"B17001C_SnrPov","Native American (Non-Hispanic)",32.1428571428571,54.3103797348055,"Genesee","NA County","New York"
"36037",2017,"B17001D_SnrPov","Asian (Non-Hispanic)",62.5,177.878118384471,"Genesee","NA County","New York"
"36037",2017,"B17001E_SnrPov","Pacific Islander (Non-Hispanic)",0,0,"Genesee","NA County","New York"
"36037",2017,"B17001F_SnrPov","Other (Non-Hispanic)",100,109.030982303384,"Genesee","NA County","New York"
"36037",2017,"B17001G_SnrPov","Two or More Races (Non-Hispanic)",0,0,"Genesee","NA County","New York"
"36037",2017,"B17001H_SnrPov","White (Non-Hispanic)",42.139175257732,12.3287773601304,"Genesee","NA County","New York"
"36037",2017,"B17001I_SnrPov","Hispanic or Latino (Any Race)",96.4285714285714,73.6268861717439,"Genesee","NA County","New York"
"36037",2018,"B17001B_SnrPov","Black (Non-Hispanic)",100,159.090909090909,"Genesee","NA County","New York"
"36037",2018,"B17001C_SnrPov","Native American (Non-Hispanic)",60,128.996123972777,"Genesee","NA County","New York"
"36037",2018,"B17001D_SnrPov","Asian (Non-Hispanic)",69.2307692307692,224.003381208631,"Genesee","NA County","New York"
"36037",2018,"B17001E_SnrPov","Pacific Islander (Non-Hispanic)",0,0,"Genesee","NA County","New York"
"36037",2018,"B17001F_SnrPov","Other (Non-Hispanic)",100,105.716795760043,"Genesee","NA County","New York"
"36037",2018,"B17001G_SnrPov","Two or More Races (Non-Hispanic)",0,232.929292626157,"Genesee","NA County","New York"
"36037",2018,"B17001H_SnrPov","White (Non-Hispanic)",40.6387665198238,11.1282538141578,"Genesee","NA County","New York"
"36037",2018,"B17001I_SnrPov","Hispanic or Latino (Any Race)",96.3636363636364,82.3216830739765,"Genesee","NA County","New York"
"36037",2019,"B17001B_SnrPov","Black (Non-Hispanic)",51.6129032258064,107.376238561892,"Genesee","NA County","New York"
