"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"3603700474",2017,"B17001B_SnrPov","Black (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001C_SnrPov","Native American (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001D_SnrPov","Asian (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001E_SnrPov","Pacific Islander (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001F_SnrPov","Other (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001G_SnrPov","Two or More Races (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001H_SnrPov","White (Non-Hispanic)",33.3333333333333,16.882462137256,"Genesee","Alabama town","New York"
"3603700474",2017,"B17001I_SnrPov","Hispanic or Latino (Any Race)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001B_SnrPov","Black (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001C_SnrPov","Native American (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001D_SnrPov","Asian (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001E_SnrPov","Pacific Islander (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001F_SnrPov","Other (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001G_SnrPov","Two or More Races (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001H_SnrPov","White (Non-Hispanic)",43.1372549019608,20.7905939773082,"Genesee","Alabama town","New York"
"3603700474",2018,"B17001I_SnrPov","Hispanic or Latino (Any Race)",0,0,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001B_SnrPov","Black (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001C_SnrPov","Native American (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001D_SnrPov","Asian (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001E_SnrPov","Pacific Islander (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
"3603700474",2019,"B17001F_SnrPov","Other (Non-Hispanic)",0,0,"Genesee","Alabama town","New York"
