"GEOID","year","County","Geography","estimate","moe","change_pct","change_moe"
"36037",2016,"Genesee","NA County",59053,NA,-0.00681153082848396,NA
"36051",2016,"Livingston","NA County",64622,NA,-0.00276230305087888,NA
"36055",2016,"Monroe","NA County",749236,NA,-0.000160137504737423,NA
"36069",2016,"Ontario","NA County",109450,NA,0.00236281046230502,NA
"36073",2016,"Orleans","NA County",41938,NA,-0.0063027201213155,NA
"36099",2016,"Seneca","NA County",35036,NA,-0.00307307079444574,NA
"36117",2016,"Wayne","NA County",91874,NA,-0.00586478531855961,NA
"36123",2016,"Yates","NA County",25106,NA,-0.00321594473339426,NA
"36037",2017,"Genesee","NA County",58537,NA,-0.00873791339982732,NA
"36051",2017,"Livingston","NA County",64373,NA,-0.003853176936647,NA
"36055",2017,"Monroe","NA County",748680,NA,-0.00074208927494146,NA
"36069",2017,"Ontario","NA County",109491,NA,0.000374600274097858,NA
"36073",2017,"Orleans","NA County",41584,NA,-0.00844103199961843,NA
"36099",2017,"Seneca","NA County",34843,NA,-0.00550861970544581,NA
"36117",2017,"Wayne","NA County",91442,NA,-0.00470209199555915,NA
"36123",2017,"Yates","NA County",25083,NA,-0.000916115669561068,NA
"36037",2018,"Genesee","NA County",58112,NA,-0.00726036523907958,NA
"36051",2018,"Livingston","NA County",63907,NA,-0.00723905985428674,NA
"36055",2018,"Monroe","NA County",744248,NA,-0.00591975209702411,NA
"36069",2018,"Ontario","NA County",109472,NA,-0.000173530244494957,NA
"36073",2018,"Orleans","NA County",41175,NA,-0.00983551365909963,NA
"36099",2018,"Seneca","NA County",34612,NA,-0.00662973911546083,NA
"36117",2018,"Wayne","NA County",90856,NA,-0.0064084337612913,NA
"36123",2018,"Yates","NA County",25009,NA,-0.00295020531834311,NA
"36037",2019,"Genesee","NA County",57808,NA,-0.00523127753303965,NA
"36051",2019,"Livingston","NA County",63591,NA,-0.00494468524574776,NA
"36055",2019,"Monroe","NA County",743341,NA,-0.00121867979490708,NA
"36069",2019,"Ontario","NA County",109511,NA,0.000356255480853607,NA
"36073",2019,"Orleans","NA County",40904,NA,-0.006581663630844,NA
"36099",2019,"Seneca","NA County",34390,NA,-0.00641396047613541,NA
"36117",2019,"Wayne","NA County",90519,NA,-0.00370916615303341,NA
"36123",2019,"Yates","NA County",25011,NA,7.99712103642936e-05,NA
"36037",2020,"Genesee","NA County",57554,NA,-0.00439385552172711,NA
"36051",2020,"Livingston","NA County",63218,NA,-0.0058656099133525,NA
"36055",2020,"Monroe","NA County",743084,NA,-0.000345736344423364,NA
"36069",2020,"Ontario","NA County",109774,54,0.00240158522888101,NA
"36073",2020,"Orleans","NA County",40624,NA,-0.00684529630354003,NA
"36099",2020,"Seneca","NA County",34295,NA,-0.00276243093922657,NA
"36117",2020,"Wayne","NA County",90103,NA,-0.00459572023553068,NA
"36123",2020,"Yates","NA County",24981,54,-0.00119947223221784,NA
"36037",2021,"Genesee","NA County",58387,NA,0.0144733641449768,NA
"36051",2021,"Livingston","NA County",62253,NA,-0.0152646398177734,NA
"36055",2021,"Monroe","NA County",757332,NA,0.0191741445112532,NA
"36069",2021,"Ontario","NA County",112060,NA,0.0208246032758213,NA
"36073",2021,"Orleans","NA County",40588,NA,-0.000886175659708499,NA
"36099",2021,"Seneca","NA County",33900,NA,-0.0115177139524713,NA
"36117",2021,"Wayne","NA County",91332,NA,0.0136399453958247,NA
"36123",2021,"Yates","NA County",24808,NA,-0.00692526320003206,NA
"36037",2022,"Genesee","NA County",58204,NA,-0.00313425933855138,NA
"36051",2022,"Livingston","NA County",61980,NA,-0.00438533082742998,NA
"36055",2022,"Monroe","NA County",756406,NA,-0.00122271342027014,NA
"36069",2022,"Ontario","NA County",112288,NA,0.00203462430840617,NA
"36073",2022,"Orleans","NA County",40148,NA,-0.0108406425544496,NA
"36099",2022,"Seneca","NA County",33651,NA,-0.00734513274336279,NA
"36117",2022,"Wayne","NA County",91324,NA,-8.75925195987781e-05,NA
"36123",2022,"Yates","NA County",24713,NA,-0.00382940986778457,NA
"36037",2023,"Genesee","NA County",57943,NA,-0.00448422788811764,NA
"36051",2023,"Livingston","NA County",61588,NA,-0.00632462084543406,NA
"36055",2023,"Monroe","NA County",754068,NA,-0.003090932647282,NA
"36069",2023,"Ontario","NA County",112405,NA,0.00104196352237107,NA
"36073",2023,"Orleans","NA County",39686,NA,-0.0115074225366145,NA
"36099",2023,"Seneca","NA County",33125,NA,-0.0156310362247779,NA
"36117",2023,"Wayne","NA County",91128,NA,-0.00214620472165039,NA
"36123",2023,"Yates","NA County",24637,NA,-0.00307530449560955,NA
