"GEOID","year","variable","Variable_Description","estimate","moe","County","Geography","State"
"36099",2017,"B08301_003","Drove Alone",79.7563384919328,2.77905828119855,"Seneca","NA County","New York"
"36099",2017,"B08301_004","Carpooled",10.1679288771814,1.60684886401054,"Seneca","NA County","New York"
"36099",2017,"B08301_010","Public Transportation",0.665130062561739,0.322686862034903,"Seneca","NA County","New York"
"36099",2017,"B08301_018","Bicycle",0.381955877510701,0.197563384919328,"Seneca","NA County","New York"
"36099",2017,"B08301_019","Walked",3.33882120513665,0.777082647349358,"Seneca","NA County","New York"
"36099",2017,"B08301_020","Taxi, Motorcycle, or Other",1.56733618702667,0.915377016792888,"Seneca","NA County","New York"
"36099",2017,"B08301_021","Worked from Home",4.04346394468225,0.651959170233783,"Seneca","NA County","New York"
"36069",2017,"B08301_003","Drove Alone",82.8732173230407,1.41118857591447,"Ontario","NA County","New York"
"36069",2017,"B08301_004","Carpooled",7.89144128147137,0.785032055475599,"Ontario","NA County","New York"
"36069",2017,"B08301_010","Public Transportation",0.69157585839517,0.214949253284985,"Ontario","NA County","New York"
"36069",2017,"B08301_018","Bicycle",0.291583334890937,0.140184295620643,"Ontario","NA County","New York"
"36069",2017,"B08301_019","Walked",3.48591615109998,0.484103100876619,"Ontario","NA County","New York"
"36069",2017,"B08301_020","Taxi, Motorcycle, or Other",0.405599895329059,0.173828526569597,"Ontario","NA County","New York"
"36069",2017,"B08301_021","Worked from Home",4.19805237285284,0.575690174015439,"Ontario","NA County","New York"
"36073",2017,"B08301_003","Drove Alone",79.9188061066956,3.367831208188,"Orleans","NA County","New York"
"36073",2017,"B08301_004","Carpooled",11.201326548116,1.93836125564641,"Orleans","NA County","New York"
"36073",2017,"B08301_010","Public Transportation",0.537480702155641,0.26874035107782,"Orleans","NA County","New York"
"36073",2017,"B08301_018","Bicycle",0.108639716393161,0.0972039567728286,"Orleans","NA County","New York"
"36073",2017,"B08301_019","Walked",2.24140888558522,0.731888615701298,"Orleans","NA County","New York"
"36073",2017,"B08301_020","Taxi, Motorcycle, or Other",1.53239178912459,0.754760134941963,"Orleans","NA County","New York"
"36073",2017,"B08301_021","Worked from Home",3.36211332837784,0.800503173423295,"Orleans","NA County","New York"
"36055",2017,"B08301_003","Drove Alone",81.010999793719,0.767142227946055,"Monroe","NA County","New York"
"36055",2017,"B08301_004","Carpooled",7.51977788556423,0.305797610485764,"Monroe","NA County","New York"
"36055",2017,"B08301_010","Public Transportation",3.12766562411146,0.249488478928677,"Monroe","NA County","New York"
"36055",2017,"B08301_018","Bicycle",0.509291006706919,0.0917114073380276,"Monroe","NA County","New York"
"36055",2017,"B08301_019","Walked",3.24056264530265,0.209626073915492,"Monroe","NA County","New York"
"36055",2017,"B08301_020","Taxi, Motorcycle, or Other",0.597936075197779,0.0984016011863944,"Monroe","NA County","New York"
"36055",2017,"B08301_021","Worked from Home",3.83877747857744,0.207117251222354,"Monroe","NA County","New York"
"36051",2017,"B08301_003","Drove Alone",81.1996946988621,2.3556758257008,"Livingston","NA County","New York"
"36051",2017,"B08301_004","Carpooled",7.20927005273383,0.915903413821815,"Livingston","NA County","New York"
"36051",2017,"B08301_010","Public Transportation",0.461421038023869,0.211629197890647,"Livingston","NA County","New York"
"36051",2017,"B08301_018","Bicycle",0.336525117957258,0.242853177907299,"Livingston","NA County","New York"
"36051",2017,"B08301_019","Walked",6.21704135442687,1.05814598945323,"Livingston","NA County","New York"
"36051",2017,"B08301_020","Taxi, Motorcycle, or Other",1.05814598945323,0.652234249236747,"Livingston","NA County","New York"
"36051",2017,"B08301_021","Worked from Home",3.38259783513739,0.596724951429364,"Livingston","NA County","New York"
"36117",2017,"B08301_003","Drove Alone",84.5817993014255,1.96120079297649,"Wayne","NA County","New York"
"36117",2017,"B08301_004","Carpooled",8.10440857169829,0.927499291985273,"Wayne","NA County","New York"
"36117",2017,"B08301_010","Public Transportation",0.65137354856981,0.344567166997074,"Wayne","NA County","New York"
"36117",2017,"B08301_018","Bicycle",0.169923534409516,0.122722552629095,"Wayne","NA County","New York"
"36117",2017,"B08301_019","Walked",2.17360521098839,0.415368639667705,"Wayne","NA County","New York"
"36117",2017,"B08301_020","Taxi, Motorcycle, or Other",0.918059095629189,0.351647314264137,"Wayne","NA County","New York"
"36117",2017,"B08301_021","Worked from Home",3.21202681015765,0.56169168318701,"Wayne","NA County","New York"
"36037",2017,"B08301_003","Drove Alone",83.3862138698093,2.01875806282905,"Genesee","NA County","New York"
"36037",2017,"B08301_004","Carpooled",8.34350266727102,1.03552874725428,"Genesee","NA County","New York"
"36037",2017,"B08301_010","Public Transportation",0.383529165649733,0.188277954046233,"Genesee","NA County","New York"
"36037",2017,"B08301_018","Bicycle",0.568320490917332,0.34517624908476,"Genesee","NA County","New York"
"36037",2017,"B08301_019","Walked",3.62958055855793,0.777518217635368,"Genesee","NA County","New York"
"36037",2017,"B08301_020","Taxi, Motorcycle, or Other",1.02158223213974,0.387015794428367,"Genesee","NA County","New York"
"36037",2017,"B08301_021","Worked from Home",2.60102506886092,0.627593180154109,"Genesee","NA County","New York"
"36123",2017,"B08301_003","Drove Alone",67.729372339462,3.21528847024726,"Yates","NA County","New York"
"36123",2017,"B08301_004","Carpooled",9.781722670048,1.44914409926637,"Yates","NA County","New York"
"36123",2017,"B08301_010","Public Transportation",0.289828819853274,0.335114572955348,"Yates","NA County","New York"
"36123",2017,"B08301_018","Bicycle",2.39108776378951,0.951000815143556,"Yates","NA County","New York"
"36123",2017,"B08301_019","Walked",8.14237840775292,1.52160130422969,"Yates","NA County","New York"
"36123",2017,"B08301_020","Taxi, Motorcycle, or Other",1.25894393623766,0.534371886604474,"Yates","NA County","New York"
"36123",2017,"B08301_021","Worked from Home",9.9628656824563,1.5306584548501,"Yates","NA County","New York"
"36117",2018,"B08301_003","Drove Alone",84.4760793465578,1.91365227537923,"Wayne","NA County","New York"
"36117",2018,"B08301_004","Carpooled",8.0046674445741,0.900816802800467,"Wayne","NA County","New York"
"36117",2018,"B08301_010","Public Transportation",0.630105017502917,0.352392065344224,"Wayne","NA County","New York"
"36117",2018,"B08301_018","Bicycle",0.217036172695449,0.142357059509918,"Wayne","NA County","New York"
"36117",2018,"B08301_019","Walked",1.91831971995333,0.406067677946324,"Wayne","NA County","New York"
"36117",2018,"B08301_020","Taxi, Motorcycle, or Other",0.945157526254376,0.450408401400233,"Wayne","NA County","New York"
"36117",2018,"B08301_021","Worked from Home",3.61493582263711,0.630105017502917,"Wayne","NA County","New York"
"36099",2018,"B08301_003","Drove Alone",80.0368106224939,3.11575626109249,"Seneca","NA County","New York"
"36099",2018,"B08301_004","Carpooled",9.22237559981595,1.60389140866364,"Seneca","NA County","New York"
"36099",2018,"B08301_010","Public Transportation",0.729639124433051,0.302372970485769,"Seneca","NA County","New York"
"36099",2018,"B08301_018","Bicycle",0.427266153947282,0.243213041477684,"Seneca","NA County","New York"
"36099",2018,"B08301_019","Walked",3.72707552750937,0.815092355222507,"Seneca","NA County","New York"
"36099",2018,"B08301_020","Taxi, Motorcycle, or Other",1.48557155064747,0.696772497206337,"Seneca","NA County","New York"
"36099",2018,"B08301_021","Worked from Home",4.26608821402748,0.709919148097022,"Seneca","NA County","New York"
"36069",2018,"B08301_003","Drove Alone",83.2224796353038,1.43860698004633,"Ontario","NA County","New York"
"36069",2018,"B08301_004","Carpooled",7.59285554143935,0.771616471115761,"Ontario","NA County","New York"
"36069",2018,"B08301_010","Public Transportation",0.638965697630969,0.199910320603841,"Ontario","NA County","New York"
"36069",2018,"B08301_018","Bicycle",0.192437037590614,0.100889320678574,"Ontario","NA County","New York"
"36069",2018,"B08301_019","Walked",3.18735520514162,0.513788207159405,"Ontario","NA County","New York"
"36069",2018,"B08301_020","Taxi, Motorcycle, or Other",0.362454226141544,0.162543905537703,"Ontario","NA County","New York"
"36069",2018,"B08301_021","Worked from Home",4.63156714744787,0.609072565578058,"Ontario","NA County","New York"
"36073",2018,"B08301_003","Drove Alone",79.8597364402466,3.07109326395566,"Orleans","NA County","New York"
"36073",2018,"B08301_004","Carpooled",10.8251795712912,1.66845766642158,"Orleans","NA County","New York"
"36073",2018,"B08301_010","Public Transportation",0.684350432667836,0.525988349075279,"Orleans","NA County","New York"
"36073",2018,"B08301_018","Bicycle",0.186641027091228,0.118771562694418,"Orleans","NA County","New York"
"36073",2018,"B08301_019","Walked",2.63559753407613,0.774843051863582,"Orleans","NA County","New York"
"36073",2018,"B08301_020","Taxi, Motorcycle, or Other",1.52706294892823,0.831400938860924,"Orleans","NA County","New York"
"36073",2018,"B08301_021","Worked from Home",3.18986482665008,0.735252530965443,"Orleans","NA County","New York"
"36055",2018,"B08301_003","Drove Alone",81.1957545653517,0.73710897864145,"Monroe","NA County","New York"
"36055",2018,"B08301_004","Carpooled",7.46584896114315,0.373446187131201,"Monroe","NA County","New York"
"36055",2018,"B08301_010","Public Transportation",3.01132917212906,0.237876276383722,"Monroe","NA County","New York"
"36055",2018,"B08301_018","Bicycle",0.50901609787868,0.0908458164802697,"Monroe","NA County","New York"
"36055",2018,"B08301_019","Walked",3.0306164377818,0.187561670333111,"Monroe","NA County","New York"
"36055",2018,"B08301_020","Taxi, Motorcycle, or Other",0.526626209996394,0.0933615467828002,"Monroe","NA County","New York"
"36055",2018,"B08301_021","Worked from Home",4.07240830861861,0.272537449440809,"Monroe","NA County","New York"
"36051",2018,"B08301_003","Drove Alone",81.4382516763047,1.91932451129954,"Livingston","NA County","New York"
"36051",2018,"B08301_004","Carpooled",7.23737893355093,0.961436123035442,"Livingston","NA County","New York"
